candidate_id,candidate_hash,family,hypothesis,primary_1h_setup,lower_tf_confirmation,quality_gates,exit_module,risk_module,portfolio_role,parameters_json,complexity_score,overfit_risk_score,live_known_proof,expected_failure_mode,rejection_stage,rejection_reasons
2,82fd0ec4f5f615e7,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,atr_percentile_gate|funding_safety_gate,structure_tp,dynamic_risk_scaling,core,"{""adx_thresh"": 15, ""bb_width_thresh"": 0.04, ""expected_r_threshold"": 1.4, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",cheap_scan,pf_below_1.10:0.935
3,ea78e4194bbffb85,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,bb_width_gate|volume_impulse_gate,failed_continuation_exit,fixed_risk_1pct,core,"{""adx_thresh"": 15, ""bb_width_thresh"": 0.04, ""expected_r_threshold"": 1.5, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",5,3,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",cheap_scan,pf_below_1.10:0.935
4,8be677e6053d5457,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,funding_safety_gate|chop_toxicity_filter,breakeven_after_mfe,fixed_risk_0_5pct,core,"{""adx_thresh"": 20, ""bb_width_thresh"": 0.04, ""expected_r_threshold"": 1.2, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",5,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",cheap_scan,pf_below_1.10:0.935
5,5bf0b05f9d7f0f6e,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,volume_impulse_gate|expected_r_gate,funding_aware_exit,dynamic_risk_scaling,core,"{""adx_thresh"": 20, ""bb_width_thresh"": 0.04, ""expected_r_threshold"": 1.3, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",cheap_scan,pf_below_1.10:0.935
6,8a1c00edc450ebfd,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,chop_toxicity_filter|adx_slope_gate,fixed_atr_tp,fixed_risk_1pct,core,"{""adx_thresh"": 20, ""bb_width_thresh"": 0.04, ""expected_r_threshold"": 1.4, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",5,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",cheap_scan,pf_below_1.10:0.935
7,7560bdd58785ddf6,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,expected_r_gate|atr_percentile_gate,dynamic_atr_tp,fixed_risk_0_5pct,core,"{""adx_thresh"": 20, ""bb_width_thresh"": 0.04, ""expected_r_threshold"": 1.5, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,3,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",cheap_scan,pf_below_1.10:0.935
8,9d215eaa38ce8b98,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,adx_slope_gate|bb_width_gate,structure_tp,dynamic_risk_scaling,core,"{""adx_thresh"": 25, ""bb_width_thresh"": 0.04, ""expected_r_threshold"": 1.2, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",cheap_scan,pf_below_1.10:0.935
9,2793e9cca2f196af,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,atr_percentile_gate|funding_safety_gate,failed_continuation_exit,fixed_risk_1pct,core,"{""adx_thresh"": 25, ""bb_width_thresh"": 0.04, ""expected_r_threshold"": 1.3, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",5,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",cheap_scan,pf_below_1.10:0.935
10,0c4b61a31ba8546f,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,bb_width_gate|volume_impulse_gate,breakeven_after_mfe,fixed_risk_0_5pct,core,"{""adx_thresh"": 25, ""bb_width_thresh"": 0.04, ""expected_r_threshold"": 1.4, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",5,2,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",cheap_scan,pf_below_1.10:0.935
11,aabc15074894dbd4,breakout_retest,"Price breaks Bollinger Band, retests, continues in breakout direction.",breakout_retest,5m_retest,funding_safety_gate|chop_toxicity_filter,funding_aware_exit,dynamic_risk_scaling,core,"{""adx_thresh"": 25, ""bb_width_thresh"": 0.04, ""expected_r_threshold"": 1.5, ""regime_filter_mode"": ""strict"", ""rsi_overbought"": 100, ""rsi_oversold"": 0, ""sl_atr_mult"": 1.2, ""template_type"": ""bollinger_expansion_breakout"", ""tp_atr_mult"": 1.8, ""trend_filter"": null, ""wick_ratio_thresh"": 0.45}",6,3,closed_candle_only_no_lookahead,"False breakout in range; retest fails, price reverses inside band.",cheap_scan,pf_below_1.10:0.935
