system,status,net_pnl,trades,profit_factor,max_dd_pct,positive_months,negative_months,zero_months,win_rate,winners,losers,average_winner,average_loser,expectancy,avg_r,best_trade,worst_trade,combined_adverse,trade_log_hash,candidate_id,candidate_hash,family,template_type,min_expected_r,min_adx,max_funding_abs,min_15m_body,min_5m_wick,session_mode,require_5m_vwap_reclaim,trail_atr_mult,breakeven_atr_mult,time_stop,engine_run_index,score,beats_pf12_teacher
Dirty PF8 no-forcing baseline,DIAGNOSTIC_BASELINE_NOT_ACCEPTED,23216.74574724609,555,1.7370880352027813,15.289615246532998,54,20,4,0.5927927927927928,329,226,166.305998756569,-139.3713621401111,41.831974319362324,0.3341435547548975,289.9062559903471,-219.26437378079595,13281.952791299049,f876a7384a66d8507917310dea01000361dc192e239196c044598710f0d6afd7,,,,,,,,,,,,,,,,,
Dirty PF8 MTF diagnostic filter,DIAGNOSTIC_FILTER_ONLY_NOT_ENGINE_BENCHMARK,12754.007328569242,191,2.3076322161759717,5.44803824131535,52,14,12,0.6492146596858639,124,67,181.51225768538842,-145.57481528983473,66.77490747942011,0.5035199734487281,283.74609426185145,-219.26437378079595,9171.85745893704,39e2195efa16173457891d75c9b5899918f1531a6c65b85cd69f86b615eca73e,,,,,,,,,,,,,,,,,
Best engine-executed recovered PF8/PF8.1 router,EXECUTED_ENGINE,-487.6831328469399,2333,0.4776230177055073,4.806698714741978,0,4,74,0.0030004286326618087,7,2326,63.700216917596684,-0.40136915359850245,-0.20903691935145302,-0.0968603362725259,131.09691592516134,-112.4880261031722,-1029.7218651681076,8e801a117a4aff9ce91ff8801aa17646dcaeecffd4c565ab37d8a381e5d2e5f7,P295_00045,d85549dc2bc4dfb0,second_retest,london_continuation,1.1,16,0.00035,0.4,0.2,london_ny,False,,0.8,48,45,22594.364796994236,NO
