month,pnl,trades,winners,losers,win_rate,profit_factor,gross_profit,gross_loss,fees,slippage,funding,status,table_type,year,positive_months,negative_months,zero_months
2020-01,-1012.9910664522639,55,14.0,41.0,0.2545454545454545,0.5052835370996563,1034.6284134281177,-2047.6194798803813,440.58038485000003,418.82622065,4.793181602278903,negative,monthly,nan,nan,nan,nan
2020-02,-67.81545780953851,37,17.0,20.0,0.4594594594594595,0.93697798136599,1008.2442952644708,-1076.0597530740092,290.50531465000006,271.5688486,37.2532431595434,negative,monthly,nan,nan,nan,nan
2020-03,-825.9989776194211,47,13.0,34.0,0.2765957446808511,0.5372959488426091,959.157161716938,-1785.156139336359,244.81201189999996,234.07915045,-9.644034280574903,negative,monthly,nan,nan,nan,nan
2020-04,-543.8738225492526,62,17.0,45.0,0.27419354838709675,0.7266137862126377,1445.5235761515953,-1989.3973987008476,364.32685960000003,336.92804925,-2.1198370507407,negative,monthly,nan,nan,nan,nan
2020-05,-799.5327988855491,59,18.0,41.0,0.3050847457627119,0.5474314638860174,967.1229340799019,-1766.655732965451,261.2925937,252.46944375,-2.2641948144482997,negative,monthly,nan,nan,nan,nan
2020-06,-658.7351985318685,62,15.0,47.0,0.24193548387096775,0.5695843718723942,871.7278132260894,-1530.4630117579584,425.2486088,402.12301765,-3.1740102681278985,negative,monthly,nan,nan,nan,nan
2020-07,-814.6483250973995,58,13.0,45.0,0.22413793103448276,0.5048457550022111,830.593199795591,-1645.2415248929908,514.04852325,483.11714470000004,3.2969018474120007,negative,monthly,nan,nan,nan,nan
2020-08,-547.8234878073453,61,21.0,40.0,0.3442622950819672,0.5624013540899573,704.0622136853452,-1251.8857014926905,310.5333846,300.18066150000004,-2.3304967926499005,negative,monthly,nan,nan,nan,nan
2020-09,-284.4200838525063,70,24.0,46.0,0.34285714285714286,0.8047326032102684,1172.1471082567657,-1456.5671921092721,347.58116500000006,319.77271145000003,-0.7968811474841996,negative,monthly,nan,nan,nan,nan
2020-10,-1099.1620115409842,74,15.0,59.0,0.20270270270270271,0.2617641759829604,389.74163656430466,-1488.903648105289,357.72842355,342.43364015,2.3428879909876,negative,monthly,nan,nan,nan,nan
2020-11,-206.84484753540315,61,20.0,41.0,0.32786885245901637,0.7339118766664513,570.5098308472825,-777.3546783826856,126.13891085,116.05860634999999,-2.5607633145968,negative,monthly,nan,nan,nan,nan
2020-12,-344.8660069192371,61,16.0,45.0,0.26229508196721313,0.4956248618789894,338.88301410506284,-683.7490210242999,114.34947269999999,110.8018315,0.9129342192383002,negative,monthly,nan,nan,nan,nan
2021-01,217.82885231686942,30,17.0,13.0,0.5666666666666667,1.874672930175175,466.86920191731247,-249.04034960044302,30.844660550000004,26.483131100000005,1.9287871331306006,positive,monthly,nan,nan,nan,nan
2021-02,56.99311732873505,21,9.0,12.0,0.42857142857142855,1.2880900928080203,254.82399992945864,-197.83088260072358,22.753689800000004,20.88605795,4.9249928712659,positive,monthly,nan,nan,nan,nan
2021-03,-34.76881773002131,49,17.0,32.0,0.3469387755102041,0.9307670840166825,467.4318658061052,-502.20068353612646,76.605335,73.47002195,0.6188827300220999,negative,monthly,nan,nan,nan,nan
2021-04,-255.00704367264134,43,14.0,29.0,0.32558139534883723,0.5683795273718686,335.8060892631225,-590.813132935764,78.9874458,73.63657315,-2.3582021273581995,negative,monthly,nan,nan,nan,nan
2021-05,-63.17827795182259,53,20.0,33.0,0.37735849056603776,0.8702681225287345,423.81288554086797,-486.9911634926907,57.170922299999994,53.9798645,1.1995556518227006,negative,monthly,nan,nan,nan,nan
2021-06,-211.8402632720678,65,21.0,44.0,0.3230769230769231,0.7245572361262439,557.2496931776891,-769.0899564497569,76.97380600000001,70.96207485000001,-0.6863427279289,negative,monthly,nan,nan,nan,nan
2021-07,41.42935567947368,57,22.0,35.0,0.38596491228070173,1.0846964620780395,530.5803150347839,-489.15095935531025,93.27453275000002,85.45881120000001,-2.9995884294727997,positive,monthly,nan,nan,nan,nan
2021-08,-77.27425723710563,67,24.0,43.0,0.3582089552238806,0.8666090189167927,502.0322041862723,-579.3064614233779,110.76662490000001,104.06701365,-0.08656766289320017,negative,monthly,nan,nan,nan,nan
2021-09,-136.35087682342336,57,21.0,36.0,0.3684210526315789,0.7474822549057434,403.61464826285555,-539.965525086279,89.2201326,86.6925334,4.063144223424301,negative,monthly,nan,nan,nan,nan
2021-10,-47.72375844763723,62,23.0,39.0,0.3709677419354839,0.9123132164957432,496.5288249000056,-544.2525833476428,91.54272154999998,87.07513354999998,-1.8260631023623994,negative,monthly,nan,nan,nan,nan
2021-11,71.00586747618286,60,22.0,38.0,0.36666666666666664,1.1671861665309606,495.71724730815964,-424.7113798319767,94.9120813,84.58269124999998,-0.3949487761826995,positive,monthly,nan,nan,nan,nan
2021-12,-280.6827280035958,63,16.0,47.0,0.25396825396825395,0.5663258963999452,366.5376747679022,-647.220402771498,92.76476735,88.74678954999999,0.5712606535957002,negative,monthly,nan,nan,nan,nan
2022-01,-286.1260205315146,65,17.0,48.0,0.26153846153846155,0.46283367531908437,246.53212906763892,-532.6581495991536,82.50026709999999,78.99940025,-0.0382465684847999,negative,monthly,nan,nan,nan,nan
2022-02,-397.8905619548631,68,11.0,57.0,0.16176470588235295,0.29884973206592047,169.59201653325042,-567.4825784881135,70.75373285,68.5367291,-0.1960708951347001,negative,monthly,nan,nan,nan,nan
2022-03,-138.7928403560606,73,20.0,53.0,0.273972602739726,0.6911614042047973,310.60967035894413,-449.4025107150047,68.87013025,63.79828980000001,-0.6729898939390001,negative,monthly,nan,nan,nan,nan
2022-04,-74.96413440632031,66,23.0,43.0,0.3484848484848485,0.7334928636105426,206.31964441441733,-281.2837788207376,70.28600970000001,65.4444063,-0.530475293679,negative,monthly,nan,nan,nan,nan
2022-05,-131.74557191755932,67,16.0,51.0,0.23880597014925373,0.5387274305311808,153.86770890091978,-285.61328081847904,49.1144547,45.950703499999996,0.02751721755999985,negative,monthly,nan,nan,nan,nan
2022-06,-126.82700297436065,54,14.0,40.0,0.25925925925925924,0.46085820225780816,108.41167357693706,-235.2386765512977,33.28839785,31.7852826,-0.06949487563900002,negative,monthly,nan,nan,nan,nan
2022-07,-50.5077568488516,66,19.0,47.0,0.2878787878787879,0.774044946871871,173.02234858415645,-223.53010543300806,34.0471364,31.216966,0.058820448852000023,negative,monthly,nan,nan,nan,nan
2022-08,6.885447240541186,58,20.0,38.0,0.3448275862068966,1.0393674273989166,181.7875857717128,-174.90213853117163,43.50855225,39.020288150000006,-0.20349949054099997,positive,monthly,nan,nan,nan,nan
2022-09,-74.07330425916764,60,19.0,41.0,0.31666666666666665,0.6598219600675969,143.67533193700422,-217.7486361961719,37.3918556,34.7499312,-0.004751340830999991,negative,monthly,nan,nan,nan,nan
2022-10,-165.38808568977515,62,19.0,43.0,0.3064516129032258,0.2902994072063311,67.65115278505925,-233.03923847483443,55.11459980000001,53.86682950000001,-0.46291411022400003,negative,monthly,nan,nan,nan,nan
