system,bootstrap_expectancy_mean,bootstrap_pnl_p05,bootstrap_pnl_p50,bootstrap_pnl_p95,bootstrap_dd_p95,win_rate,pf_stability_p05,top_5_winner_dependence,top_10_winner_dependence,worst_10_losses_contribution,max_consecutive_losses,max_consecutive_wins,audit_note
PF1.2,66.07755776884837,16627.523860225905,21634.937457382435,26095.562327730808,0.08287146618564235,0.6523076923076923,1.9480811712886354,0.06439734733932666,0.1247301077153921,-1817.1079970603544,5,17,PF7/PF8/PF8.1 robustness uses synthetic hardcoded trade frames; not live strategy proof
PF7.0,47.0955963819039,22550.105361824964,29439.82692769385,36583.899758464846,0.14230968718758116,0.6032,1.601824544034109,0.04752016418825963,0.092040983716655,-2778.1649237051215,10,16,PF7/PF8/PF8.1 robustness uses synthetic hardcoded trade frames; not live strategy proof
PF8.0,48.45110471844649,23360.639742411957,30814.118935263163,39595.22100473333,0.1142483680235565,0.596875,1.617773470836763,0.14840619905275018,0.19185160764937267,-1993.3451007915444,9,18,PF7/PF8/PF8.1 robustness uses synthetic hardcoded trade frames; not live strategy proof
PF8.1,50.55578644819271,20369.936639877844,31113.64969603092,44030.54586293245,0.13440955947283803,0.592,1.5494880340367532,0.24035490216617866,0.28286830896050563,-1985.3583489692933,9,18,PF7/PF8/PF8.1 robustness uses synthetic hardcoded trade frames; not live strategy proof
