system,group,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown_pct,trades,win_rate,winning_trades,losing_trades,average_win,average_loss,expectancy,positive_months,negative_months,zero_months,best_month,worst_month,stress_pass_count,stress_fail_count,combined_adverse_pnl,combined_adverse_dd,live_known,trade_log_path,trade_log_hash,params,candidate_id,candidate_hash,family,execution_status,behavior_cluster,selection_status,registered_status
P36_CAND_0010,candidate_expansion,1657.2,3224.78,1567.58,2.0572,3.1781,37,0.6486,24,13,134.37,-120.58,44.79,16,6,0,397.33,-133.56,11,4,-1550.83,20.8014,YES,,,"{""allowed_sessions"": [""LONDON""], ""allowed_sources"": [""BB Expansion Long""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 1.1, ""min_projected_net_R"": 0.5, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0010,967b58369780ade4,strategy1_guarded_expansion,ENGINE_EXECUTED,b02980dcfecf1faa,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0011,candidate_expansion,-594.64,1693.08,2287.72,0.7401,8.4606,38,0.3947,15,23,112.87,-99.47,-15.65,9,12,0,140.85,-196.16,1,14,-3659.63,38.0497,YES,,,"{""allowed_sessions"": [""LONDON""], ""allowed_sources"": [""BB Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 0.1, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 1.1, ""min_projected_net_R"": 0.5, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0011,b7e508e4d4b3147c,strategy1_guarded_expansion,ENGINE_EXECUTED,b5b5c37dd87a43fc,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0012,candidate_expansion,2348.71,19217.68,16868.97,1.1392,11.5943,293,0.4949,145,148,132.54,-113.98,8.02,36,28,0,576.33,-381.22,5,10,-26647.26,254.8365,YES,,,"{""allowed_sessions"": null, ""allowed_sources"": null, ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 0.1, ""min_adx"": 0, ""min_atr_pct"": 0, ""min_expected_R"": 1.1, ""min_projected_net_R"": 0.5, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0012,40a5b1517a6888f4,strategy1_guarded_expansion,ENGINE_EXECUTED,ff83b488f85653d2,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0013,candidate_expansion,1018.18,14972.27,13954.1,1.073,15.281,243,0.4856,118,125,126.88,-111.63,4.19,30,30,0,677.36,-362.32,5,10,-21579.11,208.1812,YES,,,"{""allowed_sessions"": null, ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 0.1, ""min_adx"": 12, ""min_atr_pct"": 0, ""min_expected_R"": 1.1, ""min_projected_net_R"": 0.5, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0013,f667926aed3dd0b3,strategy1_guarded_expansion,ENGINE_EXECUTED,efcccc9e5924bfba,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0014,candidate_expansion,947.74,4741.76,3794.02,1.2498,5.0949,72,0.4861,35,37,135.48,-102.54,13.16,24,16,0,304.13,-224.95,5,10,-7419.38,73.7971,YES,,,"{""allowed_sessions"": null, ""allowed_sources"": [""ATR Expansion Long"", ""ATR Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 0.1, ""min_adx"": 12, ""min_atr_pct"": 0, ""min_expected_R"": 1.1, ""min_projected_net_R"": 0.7, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0014,475def742281ebbe,strategy1_guarded_expansion,ENGINE_EXECUTED,9cfdebd82829d2ec,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0015,candidate_expansion,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,15,0.0,0.0,YES,,,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""Funding Reversal Long"", ""Funding Reversal Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 0.1, ""min_adx"": 12, ""min_atr_pct"": 0, ""min_expected_R"": 1.2, ""min_projected_net_R"": 0.7, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0015,0471e3f69ea252fa,strategy1_guarded_expansion,ENGINE_EXECUTED,8d61d948f6fb7bc6,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0016,candidate_expansion,539.13,3983.56,3444.43,1.1565,8.2569,62,0.5,31,31,128.5,-111.11,8.7,16,17,0,428.51,-232.18,4,11,-5348.57,55.5204,YES,,,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 0.1, ""min_adx"": 12, ""min_atr_pct"": 0, ""min_expected_R"": 1.2, ""min_projected_net_R"": 0.7, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0016,cd24b8711f819a3f,strategy1_guarded_expansion,ENGINE_EXECUTED,0acff6a790437664,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0017,candidate_expansion,6.9,4317.19,4310.29,1.0016,9.9578,80,0.45,36,44,119.92,-97.96,0.09,23,20,0,254.73,-230.62,3,12,-7866.59,78.8992,YES,,,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""BB Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 0.1, ""min_adx"": 12, ""min_atr_pct"": 0.2, ""min_expected_R"": 1.2, ""min_projected_net_R"": 0.7, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0017,841a6725faa7fb60,strategy1_guarded_expansion,ENGINE_EXECUTED,c37c41f074a222de,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0018,candidate_expansion,3126.07,14525.56,11399.49,1.2742,10.9763,199,0.5126,102,97,142.41,-117.52,15.71,37,25,0,746.51,-372.91,7,8,-17739.7,174.4507,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": null, ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 0.1, ""min_adx"": 12, ""min_atr_pct"": 0.2, ""min_expected_R"": 1.2, ""min_projected_net_R"": 0.7, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0018,528aa922741da2f8,strategy1_guarded_expansion,ENGINE_EXECUTED,df0dacf39800564a,RESEARCH_ONLY_NOT_SELECTED,
P36_CAND_0019,candidate_expansion,863.94,9591.59,8727.65,1.099,13.821,156,0.4808,75,81,127.89,-107.75,5.54,30,26,0,571.01,-360.6,5,10,-14514.17,142.129,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.1, ""min_adx"": 12, ""min_atr_pct"": 0.2, ""min_expected_R"": 1.2, ""min_projected_net_R"": 0.7, ""off_hours_min_expected_R"": 0.0}",P36_CAND_0019,777708607d5b8960,strategy1_guarded_expansion,ENGINE_EXECUTED,9f4d86000bb92623,RESEARCH_ONLY_NOT_SELECTED,
