teacher_set,source,metrics_computed_from_trade_rows,net_pnl,trades,profit_factor,max_dd_pct,positive_months,negative_months,zero_months,combined_adverse,trade_log_hash,status
Variant B teacher,phase17_3 reconstructed consistency teacher,YES,19589.90764119483,416,1.9238493784552415,12.199084883496994,59,16,3,14242.707575577006,b8056f4f0ada7ae838b332f37781460b49d548b212563c70c998642423029ca0,TEACHER_TRADESET_CANONICALIZED
Variant C teacher,phase17_3 reconstructed quality teacher,YES,20455.48329711572,318,2.3380063935798527,10.865101101285742,54,16,8,15550.453247657932,1df9c8fc8f02791a717410a3aee27f0628e1b769d8c355bfc2d5b497fd3827fe,TEACHER_TRADESET_CANONICALIZED
PF1.2 teacher,Variant C plus B rescue teacher set,YES,21684.986096939287,325,2.4184289669893126,10.865101101285742,56,16,6,15922.970046540086,f96a862e1b161e953e888b0579a10a21457dfa0e8acdf2e5609eed1ab03bd130,TEACHER_TRADESET_CANONICALIZED
