timestamp,event_type,symbol,details
1582102800000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 10124.07
1582106400000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 10132.11
1582110000000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 10213.01
1582146000000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 9617.01
1582732800000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 8747.94
1582736400000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 8742.35
1583683200000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 8286.0
1583686800000,POSITION_OPENED,BTCUSDT,Side: Short | Size: 0.6010 | SL: 8451.87 | TP: 8055.62
1583708400000,POSITION_CLOSED,BTCUSDT,Side: Short | Reason: TP Hit | Exit Price: 8059.64991712362 | PnL: $128.84
1584000000000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 7383.06
1584003600000,POSITION_OPENED,BTCUSDT,Side: Short | Size: 0.4700 | SL: 7598.14 | TP: 7084.33
1584007200000,POSITION_CLOSED,BTCUSDT,Side: Short | Reason: TP Hit | Exit Price: 7087.874364285765 | PnL: $133.52
1584122400000,SIGNAL_GENERATED,BTCUSDT,Side: Long | Close: 4966.38
1584126000000,POSITION_OPENED,BTCUSDT,Side: Long | Size: 0.1120 | SL: 4052.42 | TP: 5880.34
1584144000000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000764 | Cost: $-0.4767
1584172800000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000764 | Cost: $-0.4707
1584201600000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000503 | Cost: $-0.2992
1584230400000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000479 | Cost: $-0.2772
1584259200000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000542 | Cost: $-0.3198
1584288000000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000542 | Cost: $-0.3230
1584306000000,POSITION_CLOSED,BTCUSDT,Side: Long | Reason: TP Hit | Exit Price: 5877.398227162747 | PnL: $103.31
1584352800000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 4432.09
1584356400000,POSITION_OPENED,BTCUSDT,Side: Short | Size: 0.2970 | SL: 4780.52 | TP: 4044.95
1584360000000,POSITION_CLOSED,BTCUSDT,Side: Short | Reason: SL Hit | Exit Price: 4782.906013131423 | PnL: $-106.51
1585846800000,SIGNAL_GENERATED,BTCUSDT,Side: Long | Close: 7082.44
1585850400000,POSITION_OPENED,BTCUSDT,Side: Long | Size: 0.5060 | SL: 6880.25 | TP: 7363.26
1585850400000,POSITION_CLOSED,BTCUSDT,Side: Long | Reason: SL Hit | Exit Price: 6876.81108320958 | PnL: $-109.18
1587024000000,SIGNAL_GENERATED,BTCUSDT,Side: Long | Close: 7039.61
1587027600000,POSITION_OPENED,BTCUSDT,Side: Long | Size: 0.5810 | SL: 6865.42 | TP: 7281.55
1587052800000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000064 | Cost: $0.2604
1587081600000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000059 | Cost: $0.2444
1587110400000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000033 | Cost: $0.1368
1587139200000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000068 | Cost: $-0.2766
1587168000000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000031 | Cost: $-0.1278
1587196800000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000171 | Cost: $-0.7057
1587225600000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000196 | Cost: $-0.8261
1587247200000,POSITION_CLOSED,BTCUSDT,Side: Long | Reason: TP Hit | Exit Price: 7277.906029764426 | PnL: $133.56
1587409200000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 6766.71
1587412800000,POSITION_OPENED,BTCUSDT,Side: Short | Size: 0.7000 | SL: 6913.26 | TP: 6563.17
1587427200000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000092 | Cost: $0.4386
1587456000000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: -0.000092 | Cost: $0.4417
1587484800000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $-0.4780
1587488400000,POSITION_CLOSED,BTCUSDT,Side: Short | Reason: SL Hit | Exit Price: 6916.714835724877 | PnL: $-112.58
1587654000000,SIGNAL_GENERATED,BTCUSDT,Side: Long | Close: 7528.14
1587657600000,POSITION_OPENED,BTCUSDT,Side: Long | Size: 0.5990 | SL: 7358.91 | TP: 7763.18
1587657600000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $0.4509
1587686400000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $0.4483
1587715200000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $0.4532
1587744000000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $0.4495
1587772800000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $0.4495
1587801600000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $0.4528
1587830400000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $0.4511
1587859200000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $0.4513
1587888000000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000075 | Cost: $0.3385
1587916800000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $0.4518
1587945600000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000100 | Cost: $0.4608
1587945600000,POSITION_CLOSED,BTCUSDT,Side: Long | Reason: TP Hit | Exit Price: 7759.293641439441 | PnL: $126.77
1588158000000,SIGNAL_GENERATED,BTCUSDT,Side: Long | Close: 8124.86
1588161600000,POSITION_OPENED,BTCUSDT,Side: Long | Size: 0.8930 | SL: 8009.92 | TP: 8284.50
1588165200000,POSITION_CLOSED,BTCUSDT,Side: Long | Reason: TP Hit | Exit Price: 8280.355327381973 | PnL: $127.92
1588190400000,SIGNAL_GENERATED,BTCUSDT,Side: Long | Close: 8920.9
1588194000000,POSITION_OPENED,BTCUSDT,Side: Long | Size: 0.4090 | SL: 8667.04 | TP: 9273.48
1588204800000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000132 | Cost: $0.4745
1588215600000,POSITION_CLOSED,BTCUSDT,Side: Long | Reason: TP Hit | Exit Price: 9268.842908578174 | PnL: $136.27
1588233600000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 9121.51
1588237200000,POSITION_OPENED,BTCUSDT,Side: Short | Size: 0.2810 | SL: 9496.20 | TP: 8746.82
1588237200000,POSITION_CLOSED,BTCUSDT,Side: Short | Reason: TP Hit | Exit Price: 8751.188937433835 | PnL: $100.09
1588780800000,SIGNAL_GENERATED,BTCUSDT,Side: Short | Close: 9272.76
1588784400000,POSITION_OPENED,BTCUSDT,Side: Short | Size: 0.5310 | SL: 9472.92 | TP: 9072.60
1588806000000,POSITION_CLOSED,BTCUSDT,Side: Short | Reason: TP Hit | Exit Price: 9077.140859988927 | PnL: $96.53
1588870800000,SIGNAL_GENERATED,BTCUSDT,Side: Long | Close: 9839.62
1588874400000,POSITION_OPENED,BTCUSDT,Side: Long | Size: 0.4630 | SL: 9607.95 | TP: 10161.38
1588896000000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000161 | Cost: $0.7448
1588924800000,FUNDING_DEDUCTED,BTCUSDT,Funding Rate: 0.000161 | Cost: $0.7316
