year,strategy1_2_pnl,strategy1_3_pnl,current_winner_pnl
2020,310.56562531440443,377.59373419670237,377.59373419670237
2021,3595.387035103977,3638.5973136229773,3638.5973136229773
2022,2485.403302343254,2506.507274512741,2506.507274512741
2023,609.9596082813471,614.3802996663596,614.3802996663596
2024,1884.4432307526922,1896.911966326725,1896.911966326725
2025,1130.3229037585,1144.5091682855177,1144.5091682855177
2026,1415.3241709094682,1420.8757282062918,1420.8757282062918
