symbol,earliest_timestamp,latest_timestamp,total_candles,earliest_date,latest_date
BTCUSDT,1577836800000,1782777600000,56929,2020-01-01 00:00:00,2026-06-30 00:00:00
ETHUSDT,1577836800000,1782777600000,56929,2020-01-01 00:00:00,2026-06-30 00:00:00
BNBUSDT,1581321600000,1782777600000,55961,2020-02-10 08:00:00,2026-06-30 00:00:00
SOLUSDT,1600066800000,1782777600000,50754,2020-09-14 07:00:00,2026-06-30 00:00:00
