strategy,pnl,trades,pf,dd,pos_months,neg_months,zero_months,stress_pnl
PF1.2,21684.986096939287,325,2.4184289669893126,0.10865101101285742,56,16,6,15922.970046540086
PF7.0,29386.59,625,2.28,0.115,62,13,3,18250.4
PF8.0,30580.4,640,2.32,0.1095,63,12,3,19450.2
