system,status,net_pnl,trades,profit_factor,max_dd_pct,positive_months,negative_months,zero_months,win_rate,winners,losers,average_winner,average_loser,expectancy,avg_r,best_trade,worst_trade,combined_adverse,trade_log_hash,router_rule
PF1.2 distilled live router,ENGINE_EXECUTED_LIVE_KNOWN_PARTIAL_RECOVERY,3637.702990280283,136,1.4991973770687985,5.954201965443343,35,23,20,0.5588235294117647,76,60,143.7474547855393,-121.45172622367839,26.74781610500208,0.2856199266552159,181.55098073634522,-154.32994916212857,2117.1794999388853,c7b094f0bc66ef90a4db2d0d4eaf852615052bbdc67118aa1856ceda3ff6cafe,"C core priority, B rescue fallback, max one position from engine"
PF1.2 protected teacher,TEACHER_REFERENCE_NOT_EXECUTABLE_PROOF,21684.986096939287,325,2.4184289669893126,10.865101101285742,56,16,6,0.6523076923076923,212,113,174.40102430258182,-135.29231022308014,66.72303414442858,0.4752061909058632,289.9062559903471,-185.4519674662941,15922.970046540086,429dcb08a667976e1aa8f2f04e4bd74226e046a4f7ab50dc38d20a16be2c6222,phase17_3/phase21 trade-set reconstruction
