metric,recomputed,phase31_claimed,diff
net_pnl,11205.2,11205.2,0.0
trades,557.0,557.0,0.0
profit_factor,1.2522,1.25,0.0021999999999999797
max_drawdown_pct,16.2186,6.54,9.6786
positive_months,52.0,61.0,-9.0
negative_months,25.0,13.0,12.0
