overlay_name,loss_bucket,trades_removed,losers_removed,winners_removed,loss_saved,winner_clipped,net_direct_impact,portfolio_pnl,portfolio_pf,portfolio_dd,pos_neg_zero_months,stress_pnl,verdict
funding_extreme_skip,funding_drag,12,11,1,850.5,120.0,730.5,20986.78,2.4093,0.0973,56/16/6,16283.98,RESEARCH_ONLY
trailing_be_at_0.5R,weak_continuation,45,30,15,2100.4,1850.0,250.4,20448.67,2.4388,0.1234,53/19/6,15922.97,RESEARCH_ONLY
