candidate_id,family,template_type,tp_atr_mult,sl_atr_mult,adx_thresh,rsi_overbought,trend_filter,regime_filter_mode,net_pnl,trades,profit_factor,max_drawdown_pct,win_rate,positive_months,negative_months,pnl_cluster,trade_cluster,unique_cluster,trade_log_hash,no_lookahead,hardcoding_status,live_path_audit,executed
CAND_0351,bollinger_expansion_breakout,bollinger_expansion_breakout,2.0,1.2,10,70,None,no_filter,566.58,336,1.0271,17.564,0.4405,35,34,500,320,False,67913e0622b8,YES,CLEAN,PASS,True
CAND_0593,bollinger_expansion_breakout,bollinger_expansion_breakout,3.0,1.4,15,65,None,no_filter,3351.54,325,1.1368,14.7707,0.3908,34,35,3500,320,False,c1fc7ee96af9,YES,CLEAN,PASS,True
CAND_0418,bollinger_expansion_breakout,bollinger_expansion_breakout,2.0,2.0,20,75,None,no_filter,2961.9,361,1.155,8.7556,0.5789,34,35,3000,360,False,6e9e9e1b26c3,YES,CLEAN,PASS,True
CAND_0562,bollinger_expansion_breakout,bollinger_expansion_breakout,2.5,2.0,10,75,None,no_filter,2441.29,352,1.1196,10.1958,0.5142,41,28,2500,340,False,4683e4d24835,YES,CLEAN,PASS,True
CAND_0564,bollinger_expansion_breakout,bollinger_expansion_breakout,2.5,2.0,15,70,None,no_filter,2441.29,352,1.1196,10.1958,0.5142,41,28,2500,340,False,4683e4d24835,YES,CLEAN,PASS,True
CAND_0332,bollinger_expansion_breakout,bollinger_expansion_breakout,1.8,1.8,30,65,None,no_filter,3795.22,360,1.1955,9.367,0.5917,35,34,4000,360,False,fcb804f416fa,YES,CLEAN,PASS,True
CAND_0274,bollinger_expansion_breakout,bollinger_expansion_breakout,1.6,2.0,30,75,None,no_filter,1344.89,360,1.0829,13.3052,0.6222,36,33,1500,360,False,262d0e439ad6,YES,CLEAN,PASS,True
CAND_0584,bollinger_expansion_breakout,bollinger_expansion_breakout,3.0,1.2,25,65,None,no_filter,1270.38,316,1.0588,15.313,0.3386,34,35,1500,300,False,afddc83ec141,YES,CLEAN,PASS,True
CAND_0592,bollinger_expansion_breakout,bollinger_expansion_breakout,3.0,1.4,10,75,None,no_filter,3351.54,325,1.1368,14.7707,0.3908,34,35,3500,320,False,c1fc7ee96af9,YES,CLEAN,PASS,True
CAND_0294,bollinger_expansion_breakout,bollinger_expansion_breakout,1.8,1.4,15,70,None,no_filter,2219.92,361,1.1001,14.4834,0.518,36,33,2000,360,False,8279195e0610,YES,CLEAN,PASS,True
CAND_0634,bollinger_expansion_breakout,bollinger_expansion_breakout,3.0,1.8,30,75,None,no_filter,3159.23,327,1.1429,12.0432,0.4434,40,29,3000,320,False,5ff06d0f543c,YES,CLEAN,PASS,True
CAND_0500,bollinger_expansion_breakout,bollinger_expansion_breakout,2.5,1.2,10,65,None,no_filter,-282.77,328,0.9855,17.0475,0.3659,32,37,-500,320,False,1faa6a31fd2e,YES,CLEAN,PASS,True
CAND_0250,bollinger_expansion_breakout,bollinger_expansion_breakout,1.6,1.8,15,75,None,no_filter,2541.83,356,1.1467,12.0172,0.6124,37,32,2500,340,False,ef4d324ebdd2,YES,CLEAN,PASS,True
CAND_0396,bollinger_expansion_breakout,bollinger_expansion_breakout,2.0,1.8,10,70,None,no_filter,4246.75,359,1.2051,9.5138,0.5655,34,35,4000,340,False,372c570a6a79,YES,CLEAN,PASS,True
CAND_0652,mean_reversion,bollinger_mean_reversion,1.5,1.6,20,70,None,no_filter,-8133.57,592,0.5444,82.5747,0.3074,9,69,-8000,580,True,12a0cdbf8d87,YES,CLEAN,PASS,True
CAND_0583,bollinger_expansion_breakout,bollinger_expansion_breakout,3.0,1.2,20,75,None,no_filter,1270.38,316,1.0588,15.313,0.3386,34,35,1500,300,False,afddc83ec141,YES,CLEAN,PASS,True
CAND_0447,bollinger_expansion_breakout,bollinger_expansion_breakout,2.2,1.4,20,70,None,no_filter,2892.02,348,1.1302,12.992,0.4713,41,28,3000,340,False,d759e448c167,YES,CLEAN,PASS,True
CAND_0589,bollinger_expansion_breakout,bollinger_expansion_breakout,3.0,1.2,30,75,None,no_filter,1270.38,316,1.0588,15.313,0.3386,34,35,1500,300,False,afddc83ec141,YES,CLEAN,PASS,True
