diff_type,protected_trades,rebuilt_trades,common_keys,missing_from_rebuild,extra_in_rebuild,pnl_gap,pf_gap,dd_gap,status,key
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1595952000000, ""Short"", 11170.6595]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1596279600000, ""Short"", 11643.7321]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1596330000000, ""Short"", 11802.2905]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1599055200000, ""Short"", 11353.342]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1599177600000, ""Short"", 10146.4363]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1600704000000, ""Short"", 10420.8104]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1602511200000, ""Long"", 11486.2023]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1602597600000, ""Short"", 11356.6453]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1603292400000, ""Long"", 12731.5557]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1603897200000, ""Short"", 13071.9589]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1604581200000, ""Long"", 14859.0261]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1604617200000, ""Long"", 15539.6448]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1604779200000, ""Short"", 14662.0474]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1605632400000, ""Long"", 17661.1212]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1605693600000, ""Short"", 18131.5134]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1605848400000, ""Short"", 18218.3001]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1606129200000, ""Short"", 18789.1704]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1606212000000, ""Short"", 19042.8238]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1606363200000, ""Short"", 17938.921]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1606831200000, ""Short"", 18774.4557]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1606849200000, ""Short"", 18758.74]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1609596000000, ""Long"", 31594.8735]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1609617600000, ""Short"", 33131.9989]"
missing_protected_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1609639200000, ""Short"", 32627.2947]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1579438800000, ""Short"", 8641.4]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1581444000000, ""Long"", 10303.0]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1582153200000, ""Short"", 9687.2]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1583996400000, ""Short"", 7498.4]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1584057600000, ""Short"", 4759.9]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1584309600000, ""Long"", 5906.6]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1584345600000, ""Short"", 4780.7]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1584619200000, ""Long"", 5620.5]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1584694800000, ""Long"", 6597.7]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1584968400000, ""Long"", 6324.2]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1585364400000, ""Short"", 6245.8]"
extra_rebuilt_key,,,,,,,,,PF12_PARTIAL_EXECUTABLE_REBUILD_REQUIRES_MORE_RECOVERY,"[1585789200000, ""Long"", 6616.6]"
