strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,entry_datetime_parsed,session,same_candle,source_sleeve
STRAT5_P35_STRESS_HARDENED,1579096800000,2020-01-15 14:00:00+00:00,1579104000000,2020-01-15 16:00:00+00:00,Long,8898.2,8693.759083533701,8698.108137602501,8698.108137602501,9156.298552165064,0.511,-104.46930831427895,4.494745545842862,2.2790600000004835,2.2223666291567423,4.501426629157226,0.4480534870000001,-109.4121073471218,9890.587892652879,SL Hit,-1.0217352870660983,2,False,False,False,False,2020-01-15 16:00:00,2020-01,2020-01-15 14:00:00,NEW_YORK,False,STRAT5_P35_STRESS_HARDENED
STRAT5_P35_STRESS_HARDENED,1582221600000,2020-02-20 18:00:00+00:00,1582254000000,2020-02-21 03:00:00+00:00,Short,9498.2,9722.863051218239,9718.004049193643,9718.004049193643,9214.652723450637,0.46,-103.3450035603896,4.420844501780196,2.194199999999364,2.2351409313139814,4.429340931313345,-0.44166946000000007,-107.3241786021698,9783.26371405071,SL Hit,-1.0221060623879359,9,False,False,False,False,2020-02-21 03:00:00,2020-02,2020-02-20 18:00:00,NEW_YORK,False,STRAT5_P35_STRESS_HARDENED
STRAT5_P35_STRESS_HARDENED,1582732800000,2020-02-26 16:00:00+00:00,1582732800000,2020-02-26 16:00:00+00:00,Short,8999.6,8727.924475406113,8723.562694059085,9213.372110308917,8723.562694059085,0.468,127.14414550993938,4.148240727245031,2.096639999999796,2.0413136704092105,4.137953670409006,-1.6290973895040002,124.62500217219835,9907.88871622291,TP Hit,1.270865147943273,0,False,False,False,False,2020-02-26 16:00:00,2020-02,2020-02-26 16:00:00,NEW_YORK,True,STRAT5_P35_STRESS_HARDENED
STRAT5_P35_STRESS_HARDENED,1582822800000,2020-02-27 17:00:00+00:00,1582840800000,2020-02-27 22:00:00+00:00,Long,8940.4,8726.819932934393,8731.185525697241,8731.185525697241,9208.282847090544,0.486,-103.79991259388464,4.293134443703058,2.172419999999682,2.1216780827440704,4.294098082743752,0.0,-108.0930470375877,9799.795669185321,SL Hit,-1.020866590504299,5,False,False,False,False,2020-02-27 22:00:00,2020-02,2020-02-27 17:00:00,NEW_YORK,False,STRAT5_P35_STRESS_HARDENED
STRAT5_P35_STRESS_HARDENED,1583838000000,2020-03-10 11:00:00+00:00,1583852400000,2020-03-10 15:00:00+00:00,Long,8046.1,7870.168973866487,7874.1060268799265,7874.1060268799265,8267.4484902401,0.584,-102.74371926197165,4.647550540369014,2.365200000000106,2.299238959848524,4.6644389598486296,0.0,-107.39126980234066,9692.404399382982,SL Hit,-1.0228906451895887,4,False,False,False,False,2020-03-10 15:00:00,2020-03,2020-03-10 11:00:00,LONDON,False,STRAT5_P35_STRESS_HARDENED
STRAT5_P35_STRESS_HARDENED,1583949600000,2020-03-11 18:00:00+00:00,1583953200000,2020-03-11 19:00:00+00:00,Short,7673.1,7846.037397538489,7842.116339368805,7842.116339368805,7457.31701821555,0.59,-102.03306454770836,4.5781455322738545,2.2891999999995276,2.313424320113754,4.602624320113282,0.0,-106.61121007998221,9585.793189303002,SL Hit,-1.023199284662818,1,False,False,False,False,2020-03-11 19:00:00,2020-03,2020-03-11 18:00:00,NEW_YORK,False,STRAT5_P35_STRESS_HARDENED
STRAT5_P35_STRESS_HARDENED,1584309600000,2020-03-15 22:00:00+00:00,1584309600000,2020-03-15 22:00:00+00:00,Long,5906.6,5570.8398283998295,5573.62664172069,5573.62664172069,6346.060822953812,0.145,-48.68522488202478,0.8321143875589876,0.4248500000000422,0.40408793152475025,0.8289379315247924,0.0,-49.517339269583765,9536.275850033417,SL Hit,-1.0083694783728692,0,False,False,False,False,2020-03-15 22:00:00,2020-03,2020-03-15 22:00:00,OFF_HOURS,True,STRAT5_P35_STRESS_HARDENED
STRAT5_P35_STRESS_HARDENED,1585846800000,2020-04-02 17:00:00+00:00,1585846800000,2020-04-02 17:00:00+00:00,Long,6912.8,7139.615844116155,7143.187437835072,6735.170536515045,7143.187437835072,0.274,62.14754128782646,1.9251809706439134,0.93708000000002,0.978616678983266,1.915696678983286,0.0,60.222360317182556,9596.498210350599,TP Hit,1.2769044035049135,0,False,False,False,False,2020-04-02 17:00:00,2020-04,2020-04-02 17:00:00,NEW_YORK,True,STRAT5_P35_STRESS_HARDENED
STRAT5_P35_STRESS_HARDENED,1586293200000,2020-04-07 21:00:00+00:00,1586314800000,2020-04-08 03:00:00+00:00,Short,7113.5,7290.04116478089,7286.397965797991,7286.397965797991,6889.7672037974335,0.567,-100.09884043076441,4.083403920215382,2.0015099999998553,2.065693823303657,4.067203823303512,0.11268548190899999,-104.2949298328888,9492.203280517711,SL Hit,-1.0210713814132173,6,False,False,False,False,2020-04-08 03:00:00,2020-04,2020-04-07 21:00:00,NEW_YORK,False,STRAT5_P35_STRESS_HARDENED
STRAT5_P35_STRESS_HARDENED,1588334400000,2020-05-01 12:00:00+00:00,1588341600000,2020-05-01 14:00:00+00:00,Long,9009.4,8735.780216030893,8740.15029117648,8740.15029117648,9356.170135526303,0.361,-98.77674201284752,3.203005028993576,1.6389399999996586,1.5775971275569718,3.2165371275566303,0.0,-101.9797470418411,9390.223533475872,SL Hit,-1.016230565911035,2,False,False,False,False,2020-05-01 14:00:00,2020-05,2020-05-01 12:00:00,LONDON,False,STRAT5_P35_STRESS_HARDENED
STRAT5_P35_STRESS_HARDENED,1588518000000,2020-05-03 15:00:00+00:00,1588651200000,2020-05-05 04:00:00+00:00,Short,8769.8,8991.454376738788,8986.960896290642,8986.960896290642,8488.582218136242,0.441,-97.7495801418057,3.9163565900709028,1.9492200000000321,1.98162487763213,3.930844877632162,-2.2942423101591,-99.37169442171749,9290.851839054152,SL Hit,-1.0206919409750983,37,False,False,False,False,2020-05-05 04:00:00,2020-05,2020-05-03 15:00:00,NEW_YORK,False,STRAT5_P35_STRESS_HARDENED
