sleeve_id,trade_log_path,trade_log_hash,rows,source
STRAT2_P35_COST_ATR_BREAKOUT,reports/phase35_STRAT2_P35_COST_ATR_BREAKOUT_trade_log.csv,c8e1cbda0595cecac90e1b6558a9e26daa5ef4f7e56151dd9c771a86d08bd570,210,engine-generated independent signal-level sleeve
STRAT3_P35_PROJECTED_NET_R,reports/phase35_STRAT3_P35_PROJECTED_NET_R_trade_log.csv,fe3a8d35855abda0d4553d5b5da787cc4a8fbdc440768face5b487b2a979518b,131,engine-generated independent signal-level sleeve
STRAT4_P35_SESSION_EXPANSION,reports/phase35_STRAT4_P35_SESSION_EXPANSION_trade_log.csv,cc0ee1ea11c80df9041f0d917eddb6c6c4d1fecc1ae96344c858111f3ad4ad17,488,engine-generated independent signal-level sleeve
STRAT5_P35_STRESS_HARDENED,reports/phase35_STRAT5_P35_STRESS_HARDENED_trade_log.csv,067251f5c08ba0c3239924e6114a7f67f0daa4bfa74cbd45b52760b851f77701,197,engine-generated independent signal-level sleeve
STRAT6_P35_LOW_R_FRICTION,reports/phase35_STRAT6_P35_LOW_R_FRICTION_trade_log.csv,5d00d76aa4535e3f9938ce9e31928aa1f29837262c90dbc8f2cac5959a5926aa,149,engine-generated independent signal-level sleeve
P35_CONSERVATIVE_QUALITY_PLUS,reports/phase35_P35_CONSERVATIVE_QUALITY_PLUS_trade_log.csv,ad1c215e3cc63eea4669ac0ba793aba27955ac9bb839c6896354d9e05c444b96,203,engine-generated independent signal-level sleeve
