strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month
variant_c_live_core,1584003600000,2020-03-12 09:00:00+00:00,1584007200000,2020-03-12 10:00:00+00:00,Short,7379.2,7087.874364285765,7084.332198186672,7598.144017305597,7084.332198186672,0.465,135.46642060711906,3.3635947896964407,1.697250000000254,1.6471072360783683,3.344357236078622,0.0,132.10282581742263,10132.102825817423,TP Hit,1.3305941824736345,1,False,False,False,False,2020-03-12 10:00:00,2020-03
variant_c_live_core,1584619200000,2020-03-19 12:00:00+00:00,1584630000000,2020-03-19 15:00:00+00:00,Long,5620.5,5894.662339228709,5897.61114480111,5413.6355757432,5897.61114480111,0.5,137.08116961435462,2.8787905848071773,1.4099999999998545,1.474402786200244,2.8844027862000985,0.0,134.20237902954744,10266.305204846973,TP Hit,1.3253237728705172,3,False,False,False,False,2020-03-19 15:00:00,2020-03
variant_c_live_core,1584694800000,2020-03-20 09:00:00+00:00,1584727200000,2020-03-20 18:00:00+00:00,Long,6597.7,6306.650338252068,6309.805240872503,6309.805240872503,6989.6227210104125,0.361,-105.06892789100348,2.3292352360544983,1.198519999999895,1.1389198459772796,2.3374398459771744,0.238677677,-107.63684080405798,10158.668364042915,SL Hit,-1.0109585274493953,9,False,False,False,False,2020-03-20 18:00:00,2020-03
variant_c_live_core,1584968400000,2020-03-23 13:00:00+00:00,1585036800000,2020-03-24 08:00:00+00:00,Long,6324.2,6714.020999104161,6717.379688948635,6035.675423956983,6717.379688948635,0.356,138.77627568108142,2.3208033378405406,1.128520000000026,1.1956935846326378,2.3242135846326635,0.685545996,135.76992634724087,10294.438290390153,TP Hit,1.351084210746892,19,False,False,False,False,2020-03-24 08:00:00,2020-03
variant_c_live_core,1587661200000,2020-04-23 17:00:00+00:00,1587945600000,2020-04-27 00:00:00+00:00,Long,7508.7,7742.424206872338,7746.297355550112,7331.12830400392,7746.297355550112,0.592,138.36473046842414,4.514332765234212,2.243679999999978,2.292904017242341,4.536584017242319,4.3554338545296,129.49496384866035,10423.933254238817,TP Hit,1.3162244442239128,79,False,False,False,False,2020-04-27 00:00:00,2020-04
variant_c_live_core,1588168800000,2020-04-29 14:00:00+00:00,1588176000000,2020-04-29 16:00:00+00:00,Long,8299.6,8476.883164528335,8481.12372639153,8161.850916998099,8481.12372639153,0.78,138.28086833210128,6.542828434166051,3.1980000000002837,3.3076382532918434,6.505638253292127,0.65158548,131.08645441793524,10555.019708656753,TP Hit,1.2870006875173738,2,False,False,False,False,2020-04-29 16:00:00,2020-04
variant_c_live_core,1588878000000,2020-05-07 19:00:00+00:00,1589022000000,2020-05-09 11:00:00+00:00,Long,9802.5,9560.837950773344,9565.620761153921,9565.620761153921,10119.745609508444,0.455,-109.95623239812832,4.405159383800935,2.2340499999999337,2.1761787231624656,4.410228723162399,9.0496792975225,-123.41107107945176,10431.608637577305,SL Hit,-1.020190922614728,40,False,False,False,False,2020-05-09 11:00:00,2020-05
variant_c_live_core,1589450400000,2020-05-14 10:00:00+00:00,1589450400000,2020-05-14 10:00:00+00:00,Long,9804.1,9589.911415468612,9594.708769853538,9594.708769853538,10085.126708536753,0.508,-108.8078009419452,4.926078899529028,2.4739600000004067,2.4370560275422615,4.911016027542669,0.0,-113.73387984147423,10317.87475773583,SL Hit,-1.0229109613691563,0,False,False,False,False,2020-05-14 10:00:00,2020-05
variant_c_live_core,1590087600000,2020-05-21 19:00:00+00:00,1590087600000,2020-05-21 19:00:00+00:00,Short,8826.2,9053.471028349955,9048.94655507242,9048.94655507242,8527.842562399414,0.473,-107.49919640952851,4.228542198204764,2.0906600000000344,2.1400758602742607,4.2307358602742955,0.0,-111.72773860773327,10206.147019128097,SL Hit,-1.0203122031497387,0,False,False,False,False,2020-05-21 19:00:00,2020-05
variant_c_live_core,1591117200000,2020-06-02 17:00:00+00:00,1591275600000,2020-06-04 13:00:00+00:00,Short,9472.3,9736.606102755406,9731.740232639087,9731.740232639087,9123.1941213346,0.2,-52.86122055108135,1.9208906102755408,0.9400000000001456,0.9731740232637094,1.913174023263855,-0.90602002148,-53.876091139876884,10152.270927988218,SL Hit,-1.018755264234933,44,False,False,False,False,2020-06-04 13:00:00,2020-06
variant_c_live_core,1599145200000,2020-09-03 15:00:00+00:00,1599145200000,2020-09-03 15:00:00+00:00,Short,10851.6,10523.519589022335,10518.260458792938,11100.961269669086,10518.260458792938,0.208,68.24072548335441,2.2230124372583226,1.131520000000106,1.093899087714526,2.225419087714632,0.0,66.01771304609609,10218.288641034314,TP Hit,1.3156831107454834,0,False,False,False,False,2020-09-03 15:00:00,2020-09
variant_c_live_core,1600704000000,2020-09-21 16:00:00+00:00,1600891200000,2020-09-23 20:00:00+00:00,Short,10410.4,10188.115110518134,10183.023598718775,10583.072208922484,10183.023598718775,0.61,135.59378258393784,6.28254710870803,3.178100000000577,3.1058221976090317,6.283922197609609,-3.291585792813,132.60282126804282,10350.89146230236,TP Hit,1.2873229042992864,52,False,False,False,False,2020-09-23 20:00:00,2020-09
variant_c_live_core,1603292400000,2020-10-21 15:00:00+00:00,1603317600000,2020-10-21 22:00:00+00:00,Long,12744.3,13052.914279645664,13059.444001646487,12507.43751881453,13059.444001646487,0.448,138.2591972812576,5.778575998640629,2.8537599999995438,2.925315456368844,5.779075456368387,0.5702954880000001,131.91032579461697,10482.801788096976,TP Hit,1.3029259767147798,7,False,False,False,False,2020-10-21 22:00:00,2020-10
