system,harness,scenario,net_pnl,profit_factor,max_dd_pct,trades,verdict
Strategy #1.1 (P37_CAND_0357),FIXED,missed fills 30%,7619.39,1.3711,11.5362,283,PASS
Strategy #1.1 (P37_CAND_0357),FIXED,stale cancel,9054.36,1.3222,13.0008,384,PASS
Strategy #1.1 (P37_CAND_0357),FIXED,partial fill,10388.75,1.3862,9.0037,404,PASS
Strategy #1.1 (P37_CAND_0357),FIXED,high funding,9171.21,1.3069,10.895,404,PASS
Strategy #1.1 (P37_CAND_0357),FIXED,combined adverse,4767.16,1.1668,16.7156,364,PASS
Strategy #1.2 (P39_CAND_0551),OLD,normal,11431.41,1.4998,7.938,340,PASS
Strategy #1.2 (P39_CAND_0551),OLD,double fees,-4650.15,0.844,54.4921,340,FAIL
Strategy #1.2 (P39_CAND_0551),OLD,triple fees,-20731.7,0.4419,203.1728,340,FAIL
Strategy #1.2 (P39_CAND_0551),OLD,double slippage,3390.63,1.1288,16.6811,340,PASS
Strategy #1.2 (P39_CAND_0551),OLD,triple slippage,-4650.15,0.844,54.4921,340,FAIL
Strategy #1.2 (P39_CAND_0551),OLD,double fees + double slippage,-12690.93,0.6194,125.6688,340,FAIL
Strategy #1.2 (P39_CAND_0551),OLD,delay 1 candle,3390.63,1.1288,16.6811,340,PASS
Strategy #1.2 (P39_CAND_0551),OLD,delay 2 candles,-4650.15,0.844,54.4921,340,FAIL
Strategy #1.2 (P39_CAND_0551),OLD,missed fills 10%,8144.39,1.377,10.881,306,PASS
Strategy #1.2 (P39_CAND_0551),OLD,missed fills 20%,7264.04,1.3789,11.072,272,PASS
Strategy #1.2 (P39_CAND_0551),OLD,missed fills 30%,6786.22,1.4091,9.3195,238,PASS
Strategy #1.2 (P39_CAND_0551),OLD,stale cancel,11877.11,1.5581,7.7268,323,PASS
Strategy #1.2 (P39_CAND_0551),OLD,partial fill,10574.05,1.4998,7.6014,340,PASS
Strategy #1.2 (P39_CAND_0551),OLD,high funding,11431.41,1.4998,7.938,340,PASS
Strategy #1.2 (P39_CAND_0551),OLD,combined adverse,-20775.68,0.4079,204.7921,306,FAIL
Strategy #1.2 (P39_CAND_0551),FIXED,normal,11431.41,1.4998,7.938,340,PASS
Strategy #1.2 (P39_CAND_0551),FIXED,double fees,9293.9,1.3907,9.3951,340,PASS
Strategy #1.2 (P39_CAND_0551),FIXED,triple fees,7156.39,1.2897,11.6485,340,PASS
Strategy #1.2 (P39_CAND_0551),FIXED,double slippage,10362.65,1.4442,8.5978,340,PASS
Strategy #1.2 (P39_CAND_0551),FIXED,triple slippage,9293.9,1.3907,9.3951,340,PASS
Strategy #1.2 (P39_CAND_0551),FIXED,double fees + double slippage,8225.15,1.3392,10.257,340,PASS
Strategy #1.2 (P39_CAND_0551),FIXED,delay 1 candle,10362.65,1.4442,8.5978,340,PASS
Strategy #1.2 (P39_CAND_0551),FIXED,delay 2 candles,9293.9,1.3907,9.3951,340,PASS
Strategy #1.2 (P39_CAND_0551),FIXED,missed fills 10%,8144.39,1.377,10.881,306,PASS
Strategy #1.2 (P39_CAND_0551),FIXED,missed fills 20%,7264.04,1.3789,11.072,272,PASS
Strategy #1.2 (P39_CAND_0551),FIXED,missed fills 30%,6786.22,1.4091,9.3195,238,PASS
Strategy #1.2 (P39_CAND_0551),FIXED,stale cancel,11877.11,1.5581,7.7268,323,PASS
Strategy #1.2 (P39_CAND_0551),FIXED,partial fill,10574.05,1.4998,7.6014,340,PASS
Strategy #1.2 (P39_CAND_0551),FIXED,high funding,9922.14,1.4228,9.119,340,PASS
Strategy #1.2 (P39_CAND_0551),FIXED,combined adverse,4323.12,1.1853,14.7223,306,PASS
