system,status,net_pnl,trades,profit_factor,max_dd_pct,positive_months,negative_months,zero_months,win_rate,winners,losers,average_winner,average_loser,expectancy,avg_r,best_trade,worst_trade,combined_adverse,trade_log_hash,router_rule
Dirty PF8 no-forcing baseline,DIAGNOSTIC_BASELINE_NOT_BENCHMARK,23216.74574724609,555,1.7370880352027813,15.289615246532998,54,20,4,0.5927927927927928,329,226,166.305998756569,-139.3713621401111,41.831974319362324,0.3341435547548975,289.9062559903471,-219.26437378079595,13281.952791299049,f876a7384a66d8507917310dea01000361dc192e239196c044598710f0d6afd7,
Dirty PF8 diagnostic distilled filter,DIAGNOSTIC_FILTER_ONLY_NOT_ENGINE_BENCHMARK,12355.660248417857,145,2.80600778092783,5.416872769168903,46,12,20,0.6758620689655173,98,47,195.88858806503532,-145.56215706288526,85.21144998908866,0.6058166924224543,283.74609426185145,-219.26437378079595,9956.056767403326,d68ce92f1b32fd01c54ac3c2ffe11649869c6d911f9ec0dc8fd01c2168d112ad,
PF1.2 distilled live router,ENGINE_EXECUTED_LIVE_KNOWN_PARTIAL_RECOVERY,3637.702990280283,136,1.4991973770687985,5.954201965443343,35,23,20,0.5588235294117647,76,60,143.7474547855393,-121.45172622367839,26.74781610500208,0.2856199266552159,181.55098073634522,-154.32994916212857,2117.1794999388853,c7b094f0bc66ef90a4db2d0d4eaf852615052bbdc67118aa1856ceda3ff6cafe,"C core priority, B rescue fallback, max one position from engine"
