metric,expected,observed,status
net_pnl,11431.41,11431.41,PASS
trades,340.0,340.0,PASS
profit_factor,1.4998,1.4998,PASS
max_drawdown_pct,7.938,7.938,PASS
stress_pass_count,15.0,15.0,PASS
combined_adverse_pnl,4323.12,4323.12,PASS
