fusion,entry_time,reason,session,expected_R
cost_gated_router,1579050000000,FILTER_REJECTED,OFF_HOURS,0.9842094490135486
cost_gated_router,1579302000000,FILTER_REJECTED,OFF_HOURS,0.9478445698046972
cost_gated_router,1579424400000,FILTER_REJECTED,LONDON,0.9113808942767426
cost_gated_router,1579881600000,FILTER_REJECTED,NEW_YORK,0.9392204432209859
cost_gated_router,1580173200000,FILTER_REJECTED,OFF_HOURS,1.0435084856049694
cost_gated_router,1580245200000,FILTER_REJECTED,NEW_YORK,0.9476961362682481
cost_gated_router,1580274000000,FILTER_REJECTED,OFF_HOURS,0.9552571567044643
cost_gated_router,1580428800000,FILTER_REJECTED,OFF_HOURS,0.9446846415625841
cost_gated_router,1580641200000,FILTER_REJECTED,LONDON,0.9157821021572101
cost_gated_router,1580922000000,FILTER_REJECTED,NEW_YORK,0.9262973255044004
cost_gated_router,1580929200000,FILTER_REJECTED,NEW_YORK,1.0369029107238537
cost_gated_router,1580950800000,FILTER_REJECTED,OFF_HOURS,0.9389847036331528
cost_gated_router,1584126000000,FILTER_REJECTED,NEW_YORK,0.9945006887014343
cost_gated_router,1584529200000,FILTER_REJECTED,LONDON,0.9871996547512475
cost_gated_router,1585530000000,FILTER_REJECTED,OFF_HOURS,0.9626712723011933
cost_gated_router,1585746000000,FILTER_REJECTED,NEW_YORK,0.9513983914086337
cost_gated_router,1587412800000,FILTER_REJECTED,NEW_YORK,1.0631051429745693
cost_gated_router,1587657600000,FILTER_REJECTED,NEW_YORK,1.0652241207203326
cost_gated_router,1588161600000,FILTER_REJECTED,LONDON,1.0394271588374717
cost_gated_router,1588237200000,FILTER_REJECTED,LONDON,0.9725720521505755
cost_gated_router,1588784400000,FILTER_REJECTED,NEW_YORK,0.954495618612552
cost_gated_router,1590364800000,FILTER_REJECTED,OFF_HOURS,1.0610435926040762
cost_gated_router,1595098800000,FILTER_REJECTED,NEW_YORK,1.4458797338889828
cost_gated_router,1595782800000,FILTER_REJECTED,NEW_YORK,0.9413236408045137
cost_gated_router,1595833200000,FILTER_REJECTED,OFF_HOURS,0.9497397640194994
cost_gated_router,1595869200000,FILTER_REJECTED,NEW_YORK,1.0654481148230102
cost_gated_router,1595894400000,FILTER_REJECTED,OFF_HOURS,0.9732366844663316
cost_gated_router,1595952000000,FILTER_REJECTED,NEW_YORK,0.9709474028508005
cost_gated_router,1596279600000,FILTER_REJECTED,LONDON,0.9517046427591533
cost_gated_router,1596330000000,FILTER_REJECTED,OFF_HOURS,0.9525464552056124
cost_gated_router,1598979600000,FILTER_REJECTED,NEW_YORK,0.9236808280737089
cost_gated_router,1605693600000,FILTER_REJECTED,LONDON,0.9719001807740226
cost_gated_router,1605848400000,FILTER_REJECTED,OFF_HOURS,0.9632695984983359
cost_gated_router,1605902400000,FILTER_REJECTED,NEW_YORK,0.9560284456297311
cost_gated_router,1606129200000,FILTER_REJECTED,LONDON,0.9553544278452697
cost_gated_router,1606212000000,FILTER_REJECTED,LONDON,0.9578728834685563
cost_gated_router,1606748400000,FILTER_REJECTED,NEW_YORK,1.0625029866794997
cost_gated_router,1606784400000,FILTER_REJECTED,OFF_HOURS,0.9618666926988134
cost_gated_router,1608156000000,FILTER_REJECTED,OFF_HOURS,0.9611598753711171
cost_gated_router,1608228000000,FILTER_REJECTED,NEW_YORK,0.9780214021866303
cost_gated_router,1609617600000,FILTER_REJECTED,NEW_YORK,0.9698149965171822
cost_gated_router,1609639200000,FILTER_REJECTED,OFF_HOURS,0.9768231072701817
cost_gated_router,1609671600000,FILTER_REJECTED,LONDON,0.9716622690129493
cost_gated_router,1609912800000,FILTER_REJECTED,OFF_HOURS,0.9789841269255296
cost_gated_router,1609977600000,FILTER_REJECTED,OFF_HOURS,1.0837955330236644
cost_gated_router,1610031600000,FILTER_REJECTED,NEW_YORK,0.9748207984211608
cost_gated_router,1610064000000,FILTER_REJECTED,OFF_HOURS,0.9800482893977933
cost_gated_router,1610564400000,FILTER_REJECTED,NEW_YORK,0.980902727312101
cost_gated_router,1610640000000,FILTER_REJECTED,NEW_YORK,0.9746805597076661
cost_gated_router,1610974800000,FILTER_REJECTED,NEW_YORK,0.9732292792766514
cost_gated_router,1611021600000,FILTER_REJECTED,OFF_HOURS,0.9662011430225236
cost_gated_router,1611115200000,FILTER_REJECTED,OFF_HOURS,1.0803682963270451
cost_gated_router,1611583200000,FILTER_REJECTED,NEW_YORK,0.9687469469481333
cost_gated_router,1611921600000,FILTER_REJECTED,LONDON,0.9865584079232365
cost_gated_router,1612314000000,FILTER_REJECTED,OFF_HOURS,0.9740808097010526
cost_gated_router,1612389600000,FILTER_REJECTED,OFF_HOURS,0.960918299685686
cost_gated_router,1614790800000,FILTER_REJECTED,NEW_YORK,0.9670799189538489
cost_gated_router,1615111200000,FILTER_REJECTED,LONDON,1.0624349905702948
cost_gated_router,1615251600000,FILTER_REJECTED,OFF_HOURS,0.9601935340391073
cost_gated_router,1615255200000,FILTER_REJECTED,OFF_HOURS,1.0684695226378638
cost_gated_router,1615338000000,FILTER_REJECTED,OFF_HOURS,0.9574964515549498
cost_gated_router,1615370400000,FILTER_REJECTED,LONDON,0.9635359647739905
cost_gated_router,1615395600000,FILTER_REJECTED,NEW_YORK,1.0678100823465357
cost_gated_router,1615413600000,FILTER_REJECTED,OFF_HOURS,0.9670657190321743
cost_gated_router,1615471200000,FILTER_REJECTED,NEW_YORK,0.9652756132953827
cost_gated_router,1615629600000,FILTER_REJECTED,LONDON,0.9576084894550773
cost_gated_router,1615636800000,FILTER_REJECTED,LONDON,1.0559678233069287
cost_gated_router,1615669200000,FILTER_REJECTED,NEW_YORK,0.9601350049855385
cost_gated_router,1615939200000,FILTER_REJECTED,OFF_HOURS,0.9639307060837436
cost_gated_router,1616011200000,FILTER_REJECTED,NEW_YORK,1.0728852399065005
cost_gated_router,1616086800000,FILTER_REJECTED,NEW_YORK,0.963435891188729
cost_gated_router,1616252400000,FILTER_REJECTED,NEW_YORK,0.9514267838798975
cost_gated_router,1616320800000,FILTER_REJECTED,LONDON,1.0528421034369877
cost_gated_router,1616450400000,FILTER_REJECTED,OFF_HOURS,1.072776684784394
cost_gated_router,1617015600000,FILTER_REJECTED,LONDON,1.0584079192440063
cost_gated_router,1617127200000,FILTER_REJECTED,NEW_YORK,0.9430780722828118
cost_gated_router,1617206400000,FILTER_REJECTED,NEW_YORK,0.9566009038070032
cost_gated_router,1617339600000,FILTER_REJECTED,OFF_HOURS,0.9471578145798193
cost_gated_router,1617634800000,FILTER_REJECTED,NEW_YORK,0.9364071246752486
cost_gated_router,1618048800000,FILTER_REJECTED,LONDON,0.9444567331968919
cost_gated_router,1618106400000,FILTER_REJECTED,OFF_HOURS,0.9450414056410458
cost_gated_router,1618210800000,FILTER_REJECTED,OFF_HOURS,0.9411833327917861
cost_gated_router,1618300800000,FILTER_REJECTED,LONDON,0.9412285461540433
cost_gated_router,1618311600000,FILTER_REJECTED,LONDON,1.054400648987602
cost_gated_router,1618376400000,FILTER_REJECTED,OFF_HOURS,0.9455383785071794
cost_gated_router,1619794800000,FILTER_REJECTED,NEW_YORK,1.0549710174573474
cost_gated_router,1619899200000,FILTER_REJECTED,NEW_YORK,0.9438941450150943
cost_gated_router,1620007200000,FILTER_REJECTED,OFF_HOURS,0.9475866318880456
cost_gated_router,1620226800000,FILTER_REJECTED,NEW_YORK,0.9656277398669879
cost_gated_router,1620392400000,FILTER_REJECTED,NEW_YORK,0.9589483202982082
cost_gated_router,1620482400000,FILTER_REJECTED,NEW_YORK,0.9538177505228442
cost_gated_router,1620608400000,FILTER_REJECTED,OFF_HOURS,0.952837448728087
cost_gated_router,1620846000000,FILTER_REJECTED,NEW_YORK,1.0697511297755944
cost_gated_router,1621468800000,FILTER_REJECTED,OFF_HOURS,0.9918377953345839
cost_gated_router,1623679200000,FILTER_REJECTED,NEW_YORK,1.0707337134389128
cost_gated_router,1624042800000,FILTER_REJECTED,NEW_YORK,1.0731171919627311
cost_gated_router,1624190400000,FILTER_REJECTED,LONDON,1.0716205391106126
cost_gated_router,1628845200000,FILTER_REJECTED,LONDON,1.0529919321076877
cost_gated_router,1629082800000,FILTER_REJECTED,OFF_HOURS,1.0542358436471229
cost_gated_router,1629403200000,FILTER_REJECTED,NEW_YORK,1.0554279684709638
cost_gated_router,1629712800000,FILTER_REJECTED,LONDON,0.9399965023791398
cost_gated_router,1630141200000,FILTER_REJECTED,LONDON,0.9312233235887389
cost_gated_router,1630515600000,FILTER_REJECTED,NEW_YORK,0.9452535125345275
cost_gated_router,1630566000000,FILTER_REJECTED,OFF_HOURS,0.9461293989089028
cost_gated_router,1630663200000,FILTER_REJECTED,LONDON,0.945210804273342
cost_gated_router,1632970800000,FILTER_REJECTED,OFF_HOURS,1.0595489727199512
cost_gated_router,1634292000000,FILTER_REJECTED,LONDON,0.9543248601650649
