candidate_id,candidate_hash,family,params,registered_status,execution_status,behavior_cluster
P36_CAND_0014,475def742281ebbe,strategy1_guarded_expansion,"{""allowed_sessions"": null, ""allowed_sources"": [""ATR Expansion Long"", ""ATR Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 0.1, ""min_adx"": 12, ""min_atr_pct"": 0, ""min_expected_R"": 1.1, ""min_projected_net_R"": 0.7, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,9cfdebd82829d2ec
P36_CAND_0015,0471e3f69ea252fa,strategy1_guarded_expansion,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""Funding Reversal Long"", ""Funding Reversal Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 0.1, ""min_adx"": 12, ""min_atr_pct"": 0, ""min_expected_R"": 1.2, ""min_projected_net_R"": 0.7, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,8d61d948f6fb7bc6
P36_CAND_0016,cd24b8711f819a3f,strategy1_guarded_expansion,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 0.1, ""min_adx"": 12, ""min_atr_pct"": 0, ""min_expected_R"": 1.2, ""min_projected_net_R"": 0.7, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,0acff6a790437664
P36_CAND_0017,841a6725faa7fb60,strategy1_guarded_expansion,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""BB Expansion Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 0.1, ""min_adx"": 12, ""min_atr_pct"": 0.2, ""min_expected_R"": 1.2, ""min_projected_net_R"": 0.7, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,c37c41f074a222de
P36_CAND_0018,528aa922741da2f8,strategy1_guarded_expansion,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": null, ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 0.1, ""min_adx"": 12, ""min_atr_pct"": 0.2, ""min_expected_R"": 1.2, ""min_projected_net_R"": 0.7, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,df0dacf39800564a
P36_CAND_0019,777708607d5b8960,strategy1_guarded_expansion,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.1, ""min_adx"": 12, ""min_atr_pct"": 0.2, ""min_expected_R"": 1.2, ""min_projected_net_R"": 0.7, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,9f4d86000bb92623
P36_CAND_0020,7f908d80e5632537,strategy1_guarded_expansion,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""ATR Expansion Long"", ""ATR Expansion Short""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.1, ""min_adx"": 12, ""min_atr_pct"": 0.2, ""min_expected_R"": 1.35, ""min_projected_net_R"": 0.7, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,5e7e7f50b0053a78
P36_CAND_0021,f0ec7a0b22411e67,strategy1_guarded_expansion,"{""allowed_sessions"": [""LONDON""], ""allowed_sources"": [""Funding Reversal Long"", ""Funding Reversal Short""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.1, ""min_adx"": 12, ""min_atr_pct"": 0.2, ""min_expected_R"": 1.35, ""min_projected_net_R"": 0.9, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,2b47647e27615a4c
P36_CAND_0022,77887034e923eab6,strategy1_guarded_expansion,"{""allowed_sessions"": [""LONDON""], ""allowed_sources"": [""BB Expansion Long""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.12, ""min_adx"": 12, ""min_atr_pct"": 0.2, ""min_expected_R"": 1.35, ""min_projected_net_R"": 0.9, ""off_hours_min_expected_R"": 0.0}",REGISTERED,UNEXECUTED,9b39c6e1c07edeff
P36_CAND_0023,bd66f7fb5a02bee6,strategy1_guarded_expansion,"{""allowed_sessions"": [""LONDON""], ""allowed_sources"": [""BB Expansion Short""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 0.12, ""min_adx"": 12, ""min_atr_pct"": 0.2, ""min_expected_R"": 1.35, ""min_projected_net_R"": 0.9, ""off_hours_min_expected_R"": 1.35}",REGISTERED,UNEXECUTED,0b26ed18b1a0eb32
