source_sleeve,session,trades,net_pnl
ATR Expansion Long,NEW_YORK,22,1222.9933488077954
ATR Expansion Short,NEW_YORK,27,1395.448714380088
BB Expansion Short,NEW_YORK,2,129.5911590442233
Low-Activity Filler Long,NEW_YORK,2,-437.0460795596907
Low-Activity Filler Short,NEW_YORK,9,1206.7017182045638
