month,strategy1_2_pnl,strategy1_3_pnl,current_winner_pnl
2020-01,309.4843244900123,309.4843244900123,309.4843244900123
2020-02,-340.02546275843594,-340.02546275843594,-340.02546275843594
2020-03,259.1683567983105,259.1683567983105,259.1683567983105
2020-04,402.84915686382215,402.8491568638222,402.8491568638222
2020-05,-25.555374903676523,-25.55537490367651,-25.55537490367651
2020-06,44.187905250403674,44.187905250403674,44.187905250403674
2020-07,-214.925278698538,-135.69657665151374,-135.69657665151374
2020-08,-185.31194560031182,-197.36668729066585,-197.36668729066585
2020-09,202.63835026879687,204.0490678235538,204.0490678235538
2020-10,16.256204678631065,16.50110711444907,16.50110711444907
2020-11,4.30658854051137,4.094852996970701,4.094852996970701
2020-12,-162.50719961512127,-164.09693553652784,-164.09693553652784
2021-01,374.9835317089403,496.07867759944924,496.07867759944924
2021-02,262.8919012774558,177.10167102598177,177.10167102598177
2021-03,394.7398626234065,398.2816732770006,398.2816732770006
2021-04,451.9318627336958,448.2557056470915,448.2557056470915
2021-05,532.1349811249848,531.0872943195119,531.0872943195119
2021-06,-32.57845539374867,-33.80401036938457,-33.80401036938457
2021-07,321.89618205546645,324.6657018722153,324.6657018722153
2021-08,458.92550952121474,462.95652461229366,462.95652461229366
2021-09,-46.959413302231326,-46.039410249368345,-46.039410249368345
2021-10,724.2512902000922,727.3105376540522,727.3105376540522
2021-11,287.00825491236554,289.0799241546312,289.0799241546312
2021-12,-133.83847235766544,-136.3769759204973,-136.3769759204973
2022-01,422.7842898341393,427.1863345150023,427.1863345150023
2022-02,551.0455256491304,556.0929603813586,556.0929603813586
2022-03,196.1486953570961,197.42238818409024,197.42238818409024
2022-04,-450.71579035180594,-454.01276049180416,-454.01276049180416
2022-05,183.87926283633382,184.5981843320344,184.5981843320344
2022-06,359.7460725512278,362.600773503101,362.600773503101
2022-07,368.9205532471456,372.9288971292848,372.9288971292848
2022-08,24.88722833697645,25.282965610275483,25.282965610275483
2022-09,-77.30825038810565,-77.80809970036162,-77.80809970036162
2022-10,217.99592308233343,219.80752355116167,219.80752355116167
2022-11,415.7872653454015,417.8782597535853,417.8782597535853
2022-12,272.23252684338087,274.5298477450127,274.5298477450127
2023-01,236.97263458090137,239.05673370778624,239.05673370778624
2023-02,443.0452247956459,446.81749877649537,446.81749877649537
2023-03,987.4342331756604,995.1209309591824,995.1209309591824
2023-04,-148.4760413192933,-149.71893122716642,-149.71893122716642
2023-05,252.84957112818495,254.35912080656217,254.35912080656217
2023-06,-612.1257761595948,-616.7770589698346,-616.7770589698346
2023-08,-165.7808803381235,-167.23102501027284,-167.23102501027284
2023-10,-191.14054157509543,-192.88346444660087,-192.88346444660087
2023-11,-192.51513548690212,-194.67158147505154,-194.67158147505154
2023-12,-0.30368052003640855,0.30807654525980865,0.30807654525980865
2024-01,500.3934579073689,507.5410946185258,507.5410946185258
2024-02,692.2077486127362,696.1272260659078,696.1272260659078
2024-03,-486.36426558792857,-493.4477105105333,-493.4477105105333
2024-04,-120.34060078202512,-122.12790335634591,-122.12790335634591
2024-05,252.86905975142167,255.46598761894913,255.46598761894913
2024-06,-144.42349368654263,-145.19636265579976,-145.19636265579976
2024-07,-386.46250488707386,-390.3741714255552,-390.3741714255552
2024-08,992.166506750809,1000.3292410196315,1000.3292410196315
2024-09,-507.28763044216373,-511.8085722317999,-511.8085722317999
2024-11,628.8190867240114,630.2536345394238,630.2536345394238
2024-12,462.86586639207883,470.14950264432076,470.14950264432076
2025-01,363.4436548046996,364.00568238012835,364.00568238012835
2025-02,106.76320250127907,112.9954046858021,112.9954046858021
2025-03,661.7335139019497,672.8328081833333,672.8328081833333
2025-04,206.26372455470317,205.22431524900713,205.22431524900713
2025-05,275.22314357226287,277.3902549389735,277.3902549389735
2025-09,-238.058568015977,-239.88978776994605,-239.88978776994605
2025-10,592.370778141327,598.1717305220794,598.1717305220794
2025-11,-191.26752190940897,-193.0295413747043,-193.0295413747043
2025-12,-646.1490237923354,-653.1916985291557,-653.1916985291557
2026-01,290.2435800340254,292.02797231648935,292.02797231648935
2026-02,657.3345317794385,659.9669149502209,659.9669149502209
2026-03,375.2657727543301,376.2778233091796,376.2778233091796
2026-05,294.5623789461332,296.24559254011103,296.24559254011103
2026-06,-202.082092604459,-203.64257490970914,-203.64257490970914
