system,asset,month,pnl,trades,winners,losers,win_rate,profit_factor,gross_profit,gross_loss,expectancy,average_winner,average_loser,max_dd_contribution,long_trades,short_trades,long_pnl,short_pnl,sleeve_contribution,fees,slippage,funding_impact,status,negative_or_zero_reason
Executable Phase12 baseline 1h,BNBUSDT.P,2021-07,223.2668615834441,16,9,7,0.5625,1.4638683162775148,704.5820403719687,-481.3151787885247,13.954178848965256,78.28689337466318,-68.75931125550353,0.015998038774956858,12,4,21.10223154177976,202.1646300416643,strategy column,37.68276084469711,37.04922010076641,-11.983136714216899,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2021-08,397.7254682721276,20,12,8,0.6,1.6081004077430923,1051.7711870511177,-654.04571877899,19.886273413606382,87.64759892092648,-81.75571484737375,0.015389534376368334,8,12,26.010402646907266,371.71506562522035,strategy column,52.78992038706305,53.821668260205534,-18.859837604033004,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2021-09,-227.41866388462495,11,4,7,0.36363636363636365,0.6142150242418505,362.0772423198582,-589.4959062044832,-20.674423989511357,90.51931057996455,-84.21370088635474,0.031134678730856777,2,9,-168.9780573154592,-58.44060656916578,strategy column,30.33843677924115,29.756951243206814,-13.907398278722699,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2021-10,476.4089730640175,11,8,3,0.7272727272727273,2.8446603858944726,734.6727579357284,-258.263784871711,43.309906642183414,91.83409474196606,-86.08792829057033,0.01772738617541694,7,4,495.88790922714355,-19.478936163126008,strategy column,40.65925525643299,40.23339589334483,-25.0857839007952,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2021-11,187.47808275333344,14,8,6,0.5714285714285714,1.3398237290679662,739.1702299366075,-551.6921471832741,13.391291625238102,92.39627874207594,-91.94869119721234,0.0422710689336427,9,5,119.81148154566496,67.66660120766846,strategy column,43.41592142150659,44.33305410682557,-9.560214613814301,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2021-12,347.5742210436148,9,6,3,0.6666666666666666,2.247430467220564,626.2063614129734,-278.6321403693586,38.61935789373498,104.36772690216223,-92.87738012311952,0.009793824593310033,5,4,105.71679753626319,241.8574235073516,strategy column,29.311101523375463,29.066462989533168,-16.5361782840237,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2022-01,45.91790675031082,14,6,8,0.42857142857142855,1.069068565888057,710.7341825758753,-664.8162758255646,3.2798504821650587,118.4556970959792,-83.10203447819558,0.036982610012868976,8,6,-224.95033073566057,270.86823748597135,strategy column,46.37155412666922,47.572272325073406,-20.7696021144004,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2022-02,-372.46376974935094,6,1,5,0.16666666666666666,0.1280449944595193,54.69562194251685,-427.1593916918678,-62.07729495822516,54.69562194251685,-85.43187833837356,0.027967998935074862,4,2,-182.4734469430561,-189.99032280629487,strategy column,19.881853436473595,19.833227981675172,-0.8069577921637001,negative,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2022-03,145.6872518980985,8,5,3,0.625,1.603994633377926,386.8934544819224,-241.2062025838239,18.210906487262314,77.37869089638448,-80.4020675279413,0.019007407749777258,4,4,164.19446802155153,-18.507216123453006,strategy column,26.27391098978649,24.873191185724743,-0.3241250811305,positive,not attributable without implemented PF8.1 sleeve logs
Executable Phase12 baseline 1h,BNBUSDT.P,2022-04,-373.10215094171565,4,0,4,0.0,0.0,0.0,-373.10215094171565,-93.27553773542891,0.0,-93.27553773542891,0.028147858108863846,3,1,-278.82487778081463,-94.27727316090103,strategy column,17.299454058741134,16.59060306608899,-1.2962489249171,negative,not attributable without implemented PF8.1 sleeve logs
