asset,status,pnl,trades,pf,dd
BTCUSDT,VALIDATED,21684.99,325,2.4184,0.1087
ETHUSDT,DATA_MISSING_PROVEN_BY_FILE_SCAN,0.0,0,0.0,0.0
BNBUSDT,DATA_MISSING_PROVEN_BY_FILE_SCAN,0.0,0,0.0,0.0
SOLUSDT,DATA_MISSING_PROVEN_BY_FILE_SCAN,0.0,0,0.0,0.0
