strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,entry_datetime_parsed,session,same_candle,source_sleeve
STRAT3_P35_PROJECTED_NET_R,1579096800000,2020-01-15 14:00:00+00:00,1579104000000,2020-01-15 16:00:00+00:00,Long,8898.2,8709.195981938934,8713.552758318092,8713.552758318092,9146.00213835467,0.555,-104.89723002389205,4.886052384988055,2.475300000000525,2.41801089043267,4.893310890433195,0.48663343500000006,-110.26991584388011,9889.730084156117,SL Hit,-1.0235951338318032,2,False,False,False,False,2020-01-15 16:00:00,2020-01,2020-01-15 14:00:00,NEW_YORK,False,STRAT3_P35_PROJECTED_NET_R
STRAT3_P35_PROJECTED_NET_R,1582221600000,2020-02-20 18:00:00+00:00,1582254000000,2020-02-21 03:00:00+00:00,Short,9498.2,9705.887669148378,9701.037150573093,9701.037150573093,9225.963989197671,0.5,-103.8438345741888,4.801021917287095,2.384999999999309,2.4252592876428025,4.810259287642111,-0.48007550000000004,-108.1647809914759,9781.56530316464,SL Hit,-1.0239133638072762,9,False,False,False,False,2020-02-21 03:00:00,2020-02,2020-02-20 18:00:00,NEW_YORK,False,STRAT3_P35_PROJECTED_NET_R
STRAT3_P35_PROJECTED_NET_R,1582732800000,2020-02-26 16:00:00+00:00,1582732800000,2020-02-26 16:00:00+00:00,Short,8999.6,8738.936932056853,8734.569647233237,9196.861680547687,8734.569647233237,0.508,132.41683851511885,4.5055883807424415,2.275839999999778,2.2185806903971823,4.494420690396961,-1.7683364826240002,129.6795866170004,9911.244889781641,TP Hit,1.3214075192882389,0,False,False,False,False,2020-02-26 16:00:00,2020-02,2020-02-26 16:00:00,NEW_YORK,True,STRAT3_P35_PROJECTED_NET_R
STRAT3_P35_PROJECTED_NET_R,1582822800000,2020-02-27 17:00:00+00:00,1582837200000,2020-02-27 21:00:00+00:00,Long,8940.4,8742.893824150098,8747.267457879037,8747.267457879037,9197.561558969346,0.528,-104.28326084874794,4.668389569575627,2.3601599999996545,2.3092786088799184,4.669438608879573,0.0,-108.95165041832358,9802.293239363318,SL Hit,-1.0226457627539534,4,False,False,False,False,2020-02-27 21:00:00,2020-02,2020-02-27 17:00:00,NEW_YORK,False,STRAT3_P35_PROJECTED_NET_R
STRAT3_P35_PROJECTED_NET_R,1586293200000,2020-04-07 21:00:00+00:00,1586311200000,2020-04-08 02:00:00+00:00,Short,7113.5,7276.664903745556,7273.028389550781,7273.028389550781,6898.680254628906,0.628,-102.46755955220938,4.518511779776105,2.21683999999984,2.283730914318934,4.500570914318774,0.12480861135600001,-107.11087994334149,9695.182359419978,SL Hit,-1.0227954046612988,5,False,False,False,False,2020-04-08 02:00:00,2020-04,2020-04-07 21:00:00,NEW_YORK,False,STRAT3_P35_PROJECTED_NET_R
STRAT3_P35_PROJECTED_NET_R,1586811600000,2020-04-13 21:00:00+00:00,1586991600000,2020-04-15 23:00:00+00:00,Long,6811.0,6666.7909201423645,6670.125983133931,6670.125983133931,6999.967623612498,0.705,-101.66740129963303,4.750921299350184,2.404049999999897,2.3512194090545244,4.755269409054422,-1.477566230625,-104.94075636835821,9590.241603051621,SL Hit,-1.0236740817487826,50,False,False,False,False,2020-04-15 23:00:00,2020-04,2020-04-13 21:00:00,NEW_YORK,False,STRAT3_P35_PROJECTED_NET_R
STRAT3_P35_PROJECTED_NET_R,1588334400000,2020-05-01 12:00:00+00:00,1588341600000,2020-05-01 14:00:00+00:00,Long,9009.4,8756.534547528452,8760.915005030967,8760.915005030967,9342.326992956645,0.198,-50.06735958936642,1.7588275202053167,0.8989199999998128,0.8673305854979954,1.7662505854978081,0.0,-51.826187109571734,9538.41541594205,SL Hit,-1.0176286600446882,2,False,False,False,False,2020-05-01 14:00:00,2020-05,2020-05-01 12:00:00,LONDON,False,STRAT3_P35_PROJECTED_NET_R
STRAT3_P35_PROJECTED_NET_R,1588518000000,2020-05-03 15:00:00+00:00,1588651200000,2020-05-05 04:00:00+00:00,Short,8769.8,8974.646695812042,8970.16161500454,8970.16161500454,8499.781738993644,0.243,-49.777747082326336,2.155950273541163,1.0740600000000176,1.089874636223114,2.1639346362231313,-1.2641743341692997,-50.6695230216982,9487.745892920353,SL Hit,-1.0223849304039643,37,False,False,False,False,2020-05-05 04:00:00,2020-05,2020-05-03 15:00:00,NEW_YORK,False,STRAT3_P35_PROJECTED_NET_R
STRAT3_P35_PROJECTED_NET_R,1588860000000,2020-05-07 14:00:00+00:00,1588870800000,2020-05-07 17:00:00+00:00,Long,9498.1,9760.133751923095,9765.01626005312,9299.354099962056,9765.01626005312,0.244,63.93623546923501,2.3495045177346174,1.1663200000001597,1.1913319837262462,2.357651983726406,0.23225262,61.354478331500395,9549.100371251852,TP Hit,1.3184360123809726,3,False,False,False,False,2020-05-07 17:00:00,2020-05,2020-05-07 14:00:00,NEW_YORK,False,STRAT3_P35_PROJECTED_NET_R
STRAT3_P35_PROJECTED_NET_R,1589295600000,2020-05-12 15:00:00+00:00,1589400000000,2020-05-13 20:00:00+00:00,Long,8887.0,9248.454805884849,9253.081346558127,8618.639038172767,9253.081346558127,0.361,130.48518492443034,3.273449592462215,1.5883999999998686,1.6701811830534352,3.2585811830533036,1.2877754449999999,125.92395988696812,9675.024331138819,TP Hit,1.3468978625793868,29,False,False,False,False,2020-05-13 20:00:00,2020-05,2020-05-12 15:00:00,NEW_YORK,False,STRAT3_P35_PROJECTED_NET_R
