month,pnl,trades,winners,losers,win_rate,profit_factor,gross_profit,gross_loss,fees,slippage,funding,status
2020-01,7.380453190393496,8,4,4,0.5,1.0192546367095643,390.68829232129065,-383.30783913089715,67.41948877296946,67.46978831596232,15.695328261418302,positive
2020-02,97.8758164515458,5,2,3,0.4,1.5880247699715748,264.3242748324353,-166.44845838088952,55.567197637240945,55.65978063582014,2.6466436293267996,positive
2020-03,-287.8650175270492,6,1,5,0.16666666666666666,0.35299852971860585,157.05671874327305,-444.92173627032224,26.879342701887218,26.89530229238689,1.6753123827945,negative
2020-04,214.55700994956925,11,6,5,0.5454545454545454,1.5762127382447684,586.9142934819372,-372.3572835323679,82.57352923434522,82.6199040237051,6.0872651090422,positive
2020-05,-403.15064031484513,8,2,6,0.25,0.31568428453013725,185.97895469677186,-589.1295950116171,41.188101029788555,41.24335996906468,3.0412935662323006,negative
2020-06,-244.2683919527305,6,0,6,0.0,0.0,0.0,-244.2683919527305,26.30578692691109,26.278059956888235,3.6168588479999997,negative
2020-07,-299.46735047864433,11,3,8,0.2727272727272727,0.42131951506522247,218.0329943142115,-517.5003447928559,160.27635374612578,160.30929939513422,-11.566111505,negative
2020-08,-325.48020089673713,8,2,6,0.25,0.41902086909880715,234.7468082763196,-560.2270091730567,71.05486795329395,71.1366840855148,14.214275803046998,negative
2020-09,-303.77545106382337,6,1,5,0.16666666666666666,0.16770298379497925,61.20897775094241,-364.9844288147657,34.908269468198114,34.94602893645467,-1.86287702,negative
2020-10,31.959973891967607,13,5,8,0.38461538461538464,1.0923147787825047,378.1664460676299,-346.20647217566227,108.44831130751211,108.5037883884397,8.8352902142218,positive
2020-11,289.3055758511484,7,5,2,0.7142857142857143,2.3599759202929813,502.03403047615586,-212.72845462500754,45.60858294911823,45.585776788539505,-1.5546087534994002,positive
2020-12,447.05657904546865,10,6,4,0.6,3.040658337979613,666.1312623107153,-219.07468326524676,63.60892467945608,63.59963436767799,2.2933309205306003,positive
2021-01,260.3465557173714,5,3,2,0.6,3.644946693635588,358.7782391776964,-98.43168346032499,15.840166465747286,15.82716176986237,-4.717453677690999,positive
2021-02,-7.331300123856211,2,0,2,0.0,0.0,0.0,-7.331300123856211,5.9508580790500005,5.946158499999045,-1.5951864551933,negative
2021-03,-242.26997590766263,5,1,4,0.2,0.22620009943962932,70.82127123803417,-313.0912471456968,19.229679297631414,19.231826241653025,-0.2654583770000001,negative
2021-04,87.92680090347517,8,4,4,0.5,1.2662965539514717,418.1105738391867,-330.18377293571154,42.70579557027763,42.69707395486439,-1.98058091935,positive
2021-05,169.60298511419742,9,3,6,0.3333333333333333,1.7528772396143275,394.87607903994694,-225.27309392574952,30.85360386034348,30.8539548964642,-4.3757503426395,positive
2021-06,-286.13559451840456,13,4,9,0.3076923076923077,0.6133239700809389,453.85233433846923,-739.9879288568739,54.13208335264164,54.13295682046357,3.7306729317292,negative
2021-07,-160.65498956417517,4,0,4,0.0,0.0,0.0,-160.65498956417517,12.500234257862541,12.499246970576586,0.5292571812353001,negative
2021-08,-227.41161077493186,13,3,10,0.23076923076923078,0.45242176208134166,187.8927147572917,-415.3043255322236,49.25936267556969,49.2729812650446,3.0949838260000004,negative
2021-09,-43.07928430297885,7,3,4,0.42857142857142855,0.8629459588354473,271.24405805841945,-314.3233423613983,38.83610088453436,38.83160380775874,4.897417959053899,negative
2021-10,-310.0053385331312,4,0,4,0.0,0.0,0.0,-310.0053385331312,26.14370752596435,26.136603739161444,1.8382656586294002,negative
2021-11,121.22320242286035,6,4,2,0.6666666666666666,1.795342780026959,273.6395007373448,-152.41629831448444,34.03379754693789,34.02882141622681,-4.248893845591001,positive
2021-12,-286.96879154690413,3,0,3,0.0,0.0,0.0,-286.96879154690413,15.64665343121132,15.654014544488286,-0.39138616,negative
2022-01,-235.08709806486308,3,0,3,0.0,0.0,0.0,-235.08709806486308,15.675860198911451,15.681068325009917,-1.552328775,negative
2022-02,-241.37141073976574,5,1,4,0.2,0.1805550350162472,53.18334406863244,-294.5547548083982,32.00945721067685,32.02101688934024,-0.5646240950398,negative
2022-03,-221.44750504874705,4,0,4,0.0,0.0,0.0,-221.44750504874705,13.190797436744393,13.19423742335877,1.1456298559390001,negative
