symbol,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown_pct,total_trades,win_rate,winning_trades,losing_trades,average_win,average_loss,expectancy,largest_win,largest_loss,positive_months,negative_months,zero_months,best_month_pnl,worst_month_pnl,yearly_pnl_json,trades_per_month,london_pnl,ny_pnl,off_hours_pnl,stress_pass_count,combined_adverse_pnl
BTCUSDT,11431.41,34301.35,22869.95,1.4998,7.938,340,0.5647,192,148,178.65,-154.53,33.62,333.44126579461687,-241.86036808990295,46,25,0,992.166506750809,-646.1490237923354,"{""2020"": 310.56562531440443, ""2021"": 3595.3870351039764, ""2022"": 2485.4033023432535, ""2023"": 609.9596082813471, ""2024"": 1884.4432307526924, ""2025"": 1130.3229037584995, ""2026"": 1415.324170909468}",4.79,2331.82,8970.57,129.01,15,4323.12
ETHUSDT,-2015.14,20865.57,22880.71,0.9119,24.8048,481,0.4387,211,270,98.89,-84.74,-4.19,147.34011926769352,-119.1087634874493,36,41,0,569.1405129338543,-317.0386974792041,"{""2020"": -1709.8512249910939, ""2021"": 79.23695006361163, ""2022"": 628.3602181933629, ""2023"": -709.4006875111326, ""2024"": -119.95868609260016, ""2025"": 66.32817290963078, ""2026"": -249.85263216143125}",6.25,-631.62,-1547.15,163.63,0,-3974.33
BNBUSDT,-2728.47,15122.24,17850.71,0.8472,32.0535,422,0.4242,179,243,84.48,-73.46,-6.47,142.50747792906125,-119.66161835740326,33,43,0,328.3398282308491,-344.21073132955695,"{""2020"": -1409.09112355576, ""2021"": -716.3764931640736, ""2022"": -802.7678505689737, ""2023"": 382.35747073249723, ""2024"": 235.5288467030076, ""2025"": -636.3583968586424, ""2026"": 218.2330698176875}",5.55,-1573.89,-1285.83,131.25,0,-4422.32
SOLUSDT,-3827.16,19588.34,23415.51,0.8366,44.4828,518,0.4112,213,305,91.96,-76.77,-7.39,193.75690217355518,-167.26870505948665,21,48,0,986.8401738984677,-386.93416358061177,"{""2020"": -293.8134003787968, ""2021"": -612.2166319680565, ""2022"": -691.8218187152053, ""2023"": -1227.5722071631499, ""2024"": -671.6383581329487, ""2025"": 263.04213687912585, ""2026"": -593.1446399204436}",7.51,-477.17,-3863.16,513.17,0,-5196.09
