system,sleeve,sleeve_family,setup_time,setup_datetime,setup_close_time,setup_close_datetime,trigger_time,trigger_datetime,trigger_close_time,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_model,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,exit_reason,R,MFE,MAE,hold_candles,expected_r,same_candle_priority
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1578099600000,2020-01-04 01:00:00+00:00,1578103200000,2020-01-04 02:00:00+00:00,1578103200000,2020-01-04 02:00:00+00:00,1578103500000,1578103500000,2020-01-04 02:05:00+00:00,1578124800000,2020-01-04 08:00:00+00:00,Short,vwap_reclaim,7296.3,7347.3,7347.3,7395.4,7131.1,1.0090000000000001,-51.459,7.387696200000001,3.680983350000001,3.7067128500000006,7.3876962000000015,-0.0062245738716,-58.840471626128405,9941.159528373872,Time Stop,Time Stop,-0.5146316851665013,0.0004673601688526862,0.009891314775982357,72,1.667003027245214,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1578132000000,2020-01-04 10:00:00+00:00,1578135600000,2020-01-04 11:00:00+00:00,1578136200000,2020-01-04 11:10:00+00:00,1578136500000,1578136500000,2020-01-04 11:15:00+00:00,1578157800000,2020-01-04 17:10:00+00:00,Short,vwap_reclaim,7317.6,7315.5,7315.5,7394.2,7189.9,1.297,2.7237000000004716,9.48956535,4.7454636,4.74410175,9.48956535,-0.7009357486765998,-6.064929601322928,9935.094598772548,Time Stop,Time Stop,0.0274151436031381,0.004296490652673077,0.0025267847381654886,72,1.6671018276762617,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1578160800000,2020-01-04 18:00:00+00:00,1578164400000,2020-01-04 19:00:00+00:00,1578165300000,2020-01-04 19:15:00+00:00,1578165600000,1578165600000,2020-01-04 19:20:00+00:00,1578182400000,2020-01-05 00:00:00+00:00,Short,vwap_reclaim,7296.1,7375.2,7375.2,7371.5,7170.4,1.317,-104.17469999999928,9.661051050000001,4.80448185,4.856569199999999,9.66105105,-0.968066118,-112.86768493199928,9822.226913840548,Stop Loss,Stop Loss,-1.0490716180371331,3.28942859884995e-05,0.011752854264607118,57,1.6671087533156677,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1578186000000,2020-01-05 01:00:00+00:00,1578189600000,2020-01-05 02:00:00+00:00,1578189900000,2020-01-05 02:05:00+00:00,1578190200000,1578190200000,2020-01-05 02:10:00+00:00,1578211500000,2020-01-05 08:05:00+00:00,Long,vwap_reclaim,7467.3,7453.3,7453.3,7391.0,7594.5,1.287,-18.018,9.6014061,4.80520755,4.79619855,9.6014061,0.960542154,-28.579948253999998,9793.646965586548,Time Stop,Time Stop,-0.18348623853210969,0.0037095067829067824,0.0048464639160071925,72,1.6671035386631654,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1578247200000,2020-01-05 18:00:00+00:00,1578250800000,2020-01-05 19:00:00+00:00,1578250800000,2020-01-05 19:00:00+00:00,1578251100000,1578251100000,2020-01-05 19:05:00+00:00,1578262800000,2020-01-05 22:20:00+00:00,Short,vwap_reclaim,7425.4,7324.4,7324.4,7486.0,7324.4,1.616,163.216,11.9178384,5.9997232,0.0,5.9997232,0.0,151.29816160000001,9944.945127186547,Take Profit,Take Profit,1.6666666666666567,0.015271904543862909,0.002890079995690473,40,1.6666666666666567,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1578265200000,2020-01-05 23:00:00+00:00,1578268800000,2020-01-06 00:00:00+00:00,1578269400000,2020-01-06 00:10:00+00:00,1578269700000,1578269700000,2020-01-06 00:15:00+00:00,1578276000000,2020-01-06 02:00:00+00:00,Short,vwap_reclaim,7361.3,7428.5,7428.5,7426.2,7253.1,1.532,-102.95039999999972,11.3289868,5.6387558,5.690231000000001,11.328986800000001,0.0,-114.27938679999971,9830.665740386548,Stop Loss,Stop Loss,-1.0354391371340552,0.0019561762188744576,0.016124869248638124,22,1.6671802773497755,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_limit_retest,variant_b,1578279600000,2020-01-06 03:00:00+00:00,1578283200000,2020-01-06 04:00:00+00:00,1578283200000,2020-01-06 04:00:00+00:00,1578283500000,1578283500000,2020-01-06 04:05:00+00:00,1578312000000,2020-01-06 12:00:00+00:00,Long,limit_retest,7538.6,7539.5,7539.5,7456.7,7675.0,1.2,1.0799999999995633,9.046859999999999,4.52316,4.5237,9.046859999999999,0.9006432,-8.867503200000437,9821.798237186547,Time Stop,Time Stop,0.010989010989006473,0.00496113336693811,0.006235905871116681,96,1.66544566544565,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1578351600000,2020-01-06 23:00:00+00:00,1578355200000,2020-01-07 00:00:00+00:00,1578355500000,2020-01-07 00:05:00+00:00,1578355800000,1578355800000,2020-01-07 00:10:00+00:00,1578357000000,2020-01-07 00:30:00+00:00,Long,vwap_reclaim,7837.4,7987.0,7987.0,7747.6,7987.0,1.093,163.5128000000004,8.648034599999999,4.2831391,0.0,4.2831391,0.0,154.8647654000004,9976.663002586547,Take Profit,Take Profit,1.6659242761692827,0.020746676193635693,0.0031132773623905423,5,1.6659242761692825,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1578358800000,2020-01-07 01:00:00+00:00,1578362400000,2020-01-07 02:00:00+00:00,1578364200000,2020-01-07 02:30:00+00:00,1578364500000,1578364500000,2020-01-07 02:35:00+00:00,1578385800000,2020-01-07 08:30:00+00:00,Long,vwap_reclaim,7929.0,7879.9,7879.9,7820.3,8110.2,0.917,-45.02470000000034,7.24838065,3.6354465000000005,3.61293415,7.2483806500000005,0.7232333150000001,-52.99631396500034,9923.666688621546,Time Stop,Time Stop,-0.45170193192272723,0.0,0.012967587337621354,72,1.6669733210671585,SL_FIRST
pf12_event_driven_mtf_router,variant_b_rescue_vwap,variant_b,1578409200000,2020-01-07 15:00:00+00:00,1578412800000,2020-01-07 16:00:00+00:00,1578412800000,2020-01-07 16:00:00+00:00,1578413100000,1578413100000,2020-01-07 16:05:00+00:00,1578414300000,2020-01-07 16:25:00+00:00,Short,vwap_reclaim,7793.2,7891.1,7891.1,7887.2,7636.6,1.055,-103.28450000000056,8.27346825,4.110912999999999,4.1625552500000005,8.27346825,0.0,-111.55796825000056,9812.108720371545,Stop Loss,Stop Loss,-1.0414893617021335,0.0,0.013264127701072716,5,1.6659574468085048,SL_FIRST
