row_type,status,teacher_trades,live_trades,exact_matches,time_side_matches,missing_teacher_exact,extra_live_exact,pnl_gap,pf_gap,dd_gap,key
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1610564400000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1610596800000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1612170000000, ""Long""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1612278000000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1614560400000, ""Long""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1614790800000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1614978000000, ""Long""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1615251600000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1615370400000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1615413600000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1615471200000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1615629600000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1617339600000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1617634800000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1618106400000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1618210800000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1618300800000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1618322400000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1618423200000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1584003600000, ""Short""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1588878000000, ""Long""]"
extra_live_time_side,PARTIAL_RECOVERY,,,,,,,,,,"[1589450400000, ""Long""]"
