strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,year,session,same_candle,source_sleeve,expected_R,total_friction_cost,cost_to_risk,projected_net_R
P37_CAND_0001:BB Expansion Long,1578974400000,2020-01-14 04:00:00+00:00,1579010400000,2020-01-14 14:00:00+00:00,Long,8473.8,8637.074842104905,8641.395539874842,8346.320011290114,8641.395539874842,0.81,132.25262210497345,6.929904311052487,3.450599999998704,3.4997651936492913,6.950365193647995,1.7863513605000003,123.53636643342095,10123.536366433422,TP Hit,1.2807880182393256,10,False,False,False,False,2020-01-14 14:00:00,2020-01,2020,OFF_HOURS,False,P37_CAND_0001:BB Expansion Long,1.3146811634589277,15.666620865200482,0.12289474625585405,1.1629592545010832
P37_CAND_0001:Funding Reversal Short,1579050000000,2020-01-15 01:00:00+00:00,1579240800000,2020-01-17 06:00:00+00:00,Short,8779.3,9005.452019343827,9000.951543572042,9000.951543572042,8561.148456427956,0.46,-104.02992889816099,4.09049296444908,2.0240000000006693,2.070218855021194,4.094218855021863,-4.89264242947,-103.22777943314007,10020.308587000281,SL Hit,-1.020304283467904,53,False,False,False,False,2020-01-17 06:00:00,2020-01,2020,OFF_HOURS,False,P37_CAND_0001:Funding Reversal Short,0.9842094490135486,13.077354248940942,0.05899960829593967,0.8559494309788971
P37_CAND_0001:Funding Reversal Short,1579302000000,2020-01-17 23:00:00+00:00,1579395600000,2020-01-19 01:00:00+00:00,Short,8939.6,9112.880602001442,9108.32643878205,9108.32643878205,8779.67356121795,0.61,-105.70116722087923,5.506006583610439,2.745,2.7780395638284063,5.523039563828407,-6.462106774185999,-104.74506703030367,9915.56351996998,SL Hit,-1.026991402487156,26,False,False,False,False,2020-01-19 01:00:00,2020-01,2020,OFF_HOURS,False,P37_CAND_0001:Funding Reversal Short,0.9478445698046972,17.491152921624845,0.10366575059536899,0.7779007163696661
P37_CAND_0001:Funding Reversal Short,1579424400000,2020-01-19 09:00:00+00:00,1579431600000,2020-01-19 11:00:00+00:00,Short,9108.7,8995.132147037159,8990.636828622848,9238.243171377153,8990.636828622848,0.801,90.96785022323657,7.250584774888383,3.652559999999592,3.6007500498627363,7.253310049862328,0.0,83.71726544834819,9999.280785418327,TP Hit,0.8766795791358271,2,False,False,False,False,2020-01-19 11:00:00,2020-01,2020,LONDON,False,P37_CAND_0001:Funding Reversal Short,0.9113808942767299,14.503894824750711,0.11196186314231912,0.7716032873574801
P37_CAND_0001:BB Expansion Short,1579438800000,2020-01-19 13:00:00+00:00,1579780800000,2020-01-23 12:00:00+00:00,Short,8641.4,8404.925338484236,8400.724975996238,8822.16801728271,8400.724975996238,0.567,134.08113307943802,4.83263323346028,2.466450000000206,2.3816055306949018,4.848055530695108,-11.598162458299198,140.84666230427692,10140.127447722602,TP Hit,1.3081664835983273,95,False,False,False,False,2020-01-23 12:00:00,2020-01,2020,NEW_YORK,False,P37_CAND_0001:BB Expansion Short,1.331402687386683,21.278851222454584,0.11771358419656636,1.1237949551176065
P37_CAND_0001:Funding Reversal Short,1579881600000,2020-01-24 16:00:00+00:00,1579910400000,2020-01-25 00:00:00+00:00,Short,8505.0,8379.074021095446,8374.886577806543,8643.533422193455,8374.886577806543,0.755,95.07411407293799,6.373737942963531,3.178549999999341,3.1615196831221604,6.340069683121501,-3.343669723402,92.04404585337646,10232.171493575977,TP Hit,0.9089934898793153,8,False,False,False,False,2020-01-25 00:00:00,2020-01,2020,NEW_YORK,False,P37_CAND_0001:Funding Reversal Short,0.9392204432209859,16.05747734948703,0.11591049362126865,0.785696610610034
P37_CAND_0001:BB Expansion Long,1580173200000,2020-01-28 01:00:00+00:00,1580230800000,2020-01-28 17:00:00+00:00,Long,9081.0,8935.066298255231,8939.536066288374,8939.536066288374,9266.656019043923,0.747,-109.01247520334228,6.729000762398329,3.3988499999994564,3.338916720757692,6.737766720757149,8.311699175376601,-124.05317514111722,10108.11831843486,SL Hit,-1.0315965201579538,16,False,False,False,False,2020-01-28 17:00:00,2020-01,2020,OFF_HOURS,False,P37_CAND_0001:BB Expansion Long,1.3123911810792899,21.77846665853208,0.1539506649300977,1.1062992601554642
P37_CAND_0001:Funding Reversal Short,1580245200000,2020-01-28 21:00:00+00:00,1580252400000,2020-01-28 23:00:00+00:00,Short,9066.5,9243.190703724276,9238.57141801527,9238.57141801527,8903.42858198473,0.603,-106.54449434573861,5.520371747172869,2.7135,2.7854292825308367,5.4989292825308365,0.0,-112.06486609291147,9996.053452341946,SL Hit,-1.0268451655846553,2,False,False,False,False,2020-01-28 23:00:00,2020-01,2020,NEW_YORK,False,P37_CAND_0001:Funding Reversal Short,0.9476961362682481,11.019301029703705,0.06403911327519735,0.8414952850655991
P37_CAND_0001:Funding Reversal Short,1580274000000,2020-01-29 05:00:00+00:00,1580407200000,2020-01-30 18:00:00+00:00,Short,9340.0,9537.422837432205,9532.656509177616,9532.656509177616,9155.963490822383,0.531,-104.8315266765007,5.011955763338251,2.463839999999691,2.5309203031868113,4.994760303186503,-14.8699065157281,-94.97357592411085,9901.079876417836,SL Hit,-1.0247400322726439,37,False,False,False,False,2020-01-30 18:00:00,2020-01,2020,OFF_HOURS,False,P37_CAND_0001:Funding Reversal Short,0.9552571567044643,24.876622582252853,0.1291242257447859,0.7120853568084456
P37_CAND_0001:Funding Reversal Short,1580428800000,2020-01-31 00:00:00+00:00,1580446800000,2020-01-31 05:00:00+00:00,Short,9520.9,9362.653323571454,9357.974336403253,9693.365663596747,9357.974336403253,0.59,93.36553909284183,5.570648230453578,2.8143000000002574,2.7606024292387517,5.574902429239009,-3.009644009603,90.80453487199124,9991.884411289826,TP Hit,0.9175546780056556,5,False,False,False,False,2020-01-31 05:00:00,2020-01,2020,OFF_HOURS,False,P37_CAND_0001:Funding Reversal Short,0.9446846415625841,14.155194669295586,0.08207543678023181,0.8055737317655811
