overlay_name,pnl,pf,dd,trades,pos_months,neg_months,zero_months,combined_adverse,verdict
funding_extreme_skip,22415.49,2.5,0.1037,313,56,15,7,16650.47,IMPROVED
trailing_be_at_0.5R,21935.39,2.45,0.1021,325,56,15,6,16122.97,IMPROVED
volume_confirm_breakout,21944.69,2.44,0.1065,302,55,16,7,16102.97,IMPROVED
ema_slope_confirm,20884.99,2.3,0.1237,305,54,18,6,15122.97,DEGRADED
