symbol,trade_log_file,row_count,sha256
BTCUSDT,phase41_BTCUSDT_strategy1_2_trade_log.csv,340,4b45287b654c1fbe91f6e97397b86f376bf6cd3770337cb0de3f3e812f0ac6dc
ETHUSDT,phase41_ETHUSDT_strategy1_2_trade_log.csv,481,b77cf1de0657e6f8f80a94755d54f55a4c95c66ac033ac3c0fa9d25a59b4a8ca
BNBUSDT,phase41_BNBUSDT_strategy1_2_trade_log.csv,422,7e1e24abffd44ba3b88a5922398fec263502b8e9993ed7f74b64b4d3fb4284ff
SOLUSDT,phase41_SOLUSDT_strategy1_2_trade_log.csv,518,daa67bcdaaffad759c10fd7b22e53af36457cc2630dce95781c30bb47572518f
