system,scenario,net_pnl,max_drawdown_pct,trades,profit_factor,verdict
STRAT5_P35_STRESS_HARDENED,missed fills 20%,-2902.46,28.4165,165,0.6556,FAIL
STRAT5_P35_STRESS_HARDENED,missed fills 30%,-2455.86,23.8572,147,0.6808,FAIL
STRAT5_P35_STRESS_HARDENED,stale cancel,-3036.51,29.7177,197,0.6913,FAIL
STRAT5_P35_STRESS_HARDENED,partial fill,-2751.68,27.35,202,0.704,FAIL
STRAT5_P35_STRESS_HARDENED,high funding,-2980.17,29.0188,176,0.6577,FAIL
STRAT5_P35_STRESS_HARDENED,combined adverse,-4074.79,40.5874,186,0.5077,FAIL
STRAT6_P35_LOW_R_FRICTION,normal,-1340.47,16.7942,149,0.8229,FAIL
STRAT6_P35_LOW_R_FRICTION,double fees,-1895.96,21.3715,149,0.7528,FAIL
STRAT6_P35_LOW_R_FRICTION,triple fees,-2298.83,24.9579,147,0.7017,FAIL
STRAT6_P35_LOW_R_FRICTION,double slippage,-1895.87,21.3706,149,0.7528,FAIL
STRAT6_P35_LOW_R_FRICTION,triple slippage,-2298.64,24.9564,147,0.7017,FAIL
STRAT6_P35_LOW_R_FRICTION,double fees + double slippage,-2298.73,24.9569,147,0.7017,FAIL
STRAT6_P35_LOW_R_FRICTION,delay 1 candle,-1523.11,17.1618,149,0.7694,FAIL
STRAT6_P35_LOW_R_FRICTION,delay 2 candles,-1387.23,16.1268,148,0.7558,FAIL
STRAT6_P35_LOW_R_FRICTION,missed fills 10%,-1350.4,16.0636,137,0.8094,FAIL
STRAT6_P35_LOW_R_FRICTION,missed fills 20%,-1038.6,11.9607,121,0.821,FAIL
STRAT6_P35_LOW_R_FRICTION,missed fills 30%,-1202.86,17.011,111,0.7842,FAIL
STRAT6_P35_LOW_R_FRICTION,stale cancel,-1340.47,16.7942,149,0.8229,FAIL
STRAT6_P35_LOW_R_FRICTION,partial fill,-294.38,11.1116,151,0.9575,FAIL
STRAT6_P35_LOW_R_FRICTION,high funding,-1074.02,15.1746,139,0.8508,FAIL
STRAT6_P35_LOW_R_FRICTION,combined adverse,-2542.52,25.3862,135,0.5992,FAIL
P35_CONSERVATIVE_QUALITY_PLUS,normal,49.01,9.7015,203,1.0052,PASS
P35_CONSERVATIVE_QUALITY_PLUS,double fees,-563.52,10.1992,202,0.9396,FAIL
P35_CONSERVATIVE_QUALITY_PLUS,triple fees,-1219.53,15.4084,199,0.8686,FAIL
P35_CONSERVATIVE_QUALITY_PLUS,double slippage,-563.52,10.1992,202,0.9396,FAIL
P35_CONSERVATIVE_QUALITY_PLUS,triple slippage,-1219.51,15.4083,199,0.8686,FAIL
P35_CONSERVATIVE_QUALITY_PLUS,double fees + double slippage,-1219.53,15.4086,199,0.8686,FAIL
P35_CONSERVATIVE_QUALITY_PLUS,delay 1 candle,90.19,10.1025,203,1.0115,PASS
P35_CONSERVATIVE_QUALITY_PLUS,delay 2 candles,-25.55,7.8478,202,0.9965,FAIL
P35_CONSERVATIVE_QUALITY_PLUS,missed fills 10%,241.01,10.0131,186,1.0283,PASS
P35_CONSERVATIVE_QUALITY_PLUS,missed fills 20%,-187.95,8.8261,168,0.9759,FAIL
P35_CONSERVATIVE_QUALITY_PLUS,missed fills 30%,788.62,6.0641,153,1.1127,PASS
P35_CONSERVATIVE_QUALITY_PLUS,stale cancel,49.01,9.7015,203,1.0052,PASS
P35_CONSERVATIVE_QUALITY_PLUS,partial fill,-142.83,9.2863,201,0.9831,FAIL
P35_CONSERVATIVE_QUALITY_PLUS,high funding,539.92,6.2003,181,1.0631,PASS
P35_CONSERVATIVE_QUALITY_PLUS,combined adverse,-1348.58,17.6051,186,0.8211,FAIL
