asset,month,net_pnl,trades,winners,losers,win_rate,gross_profit,gross_loss,profit_factor,best_trade,worst_trade,dominant_sleeve,dominant_session,status
BNBUSDT,2025-03,-30.9,4,2,2,0.5,135.83,166.73,0.8147,110.74,-84.29,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
BNBUSDT,2025-04,81.67,3,2,1,0.6667,168.16,86.49,1.9443,97.83,-86.49,P39_CAND_0551:Funding Reversal Long,NEW_YORK,positive
BNBUSDT,2025-05,-170.84,2,0,2,0.0,0.0,170.84,0.0,-83.76,-87.08,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
BNBUSDT,2025-06,-87.8,1,0,1,0.0,0.0,87.8,0.0,-87.8,-87.8,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
BNBUSDT,2025-07,-116.34,3,1,2,0.3333,46.18,162.52,0.2842,46.18,-82.28,P39_CAND_0551:ATR Expansion Short,NEW_YORK,negative
BNBUSDT,2025-08,-206.39,3,0,3,0.0,0.0,206.39,0.0,-40.83,-83.05,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
BNBUSDT,2025-09,-157.54,2,0,2,0.0,0.0,157.54,0.0,-78.36,-79.17,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
BNBUSDT,2025-10,-141.22,10,4,6,0.4,280.73,421.96,0.6653,95.28,-78.26,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
BNBUSDT,2025-11,-67.63,3,1,2,0.3333,45.52,113.15,0.4023,45.52,-75.37,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
BNBUSDT,2025-12,122.6,3,2,1,0.6667,201.96,79.37,2.5447,113.95,-79.37,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
BNBUSDT,2026-01,180.06,2,2,0,1.0,180.06,0.0,9999.0,91.74,88.32,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
BNBUSDT,2026-02,310.74,5,4,1,0.8,388.66,77.92,4.9879,103.91,-77.92,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
BNBUSDT,2026-03,-83.37,1,0,1,0.0,0.0,83.37,0.0,-83.37,-83.37,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
BNBUSDT,2026-05,51.83,2,1,1,0.5,93.62,41.79,2.2403,93.62,-41.79,P39_CAND_0551:ATR Expansion Short,NEW_YORK,positive
BNBUSDT,2026-06,-241.03,3,0,3,0.0,0.0,241.03,0.0,-78.86,-82.02,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2020-10,-215.16,12,4,8,0.3333,650.96,866.11,0.7516,193.76,-167.27,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2020-11,45.91,10,5,5,0.5,532.74,486.84,1.0943,153.57,-134.19,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
SOLUSDT,2020-12,-124.57,14,4,10,0.2857,287.7,412.27,0.6979,104.16,-87.25,P39_CAND_0551:BB Expansion Short,LONDON,negative
SOLUSDT,2021-01,-293.14,10,3,7,0.3,316.48,609.62,0.5191,140.12,-109.21,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2021-02,986.84,22,15,7,0.6818,1559.39,572.55,2.7236,141.53,-115.76,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
SOLUSDT,2021-03,-27.12,11,5,6,0.4545,578.85,605.97,0.9552,155.02,-117.96,P39_CAND_0551:Funding Reversal Short,NEW_YORK,negative
SOLUSDT,2021-04,-321.08,3,0,3,0.0,0.0,321.08,0.0,-106.23,-108.09,P39_CAND_0551:Funding Reversal Short,LONDON,negative
SOLUSDT,2021-05,-254.75,3,0,3,0.0,0.0,254.75,0.0,-52.64,-101.37,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2021-06,-250.72,3,0,3,0.0,0.0,250.72,0.0,-51.07,-100.37,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2021-07,-306.98,9,3,6,0.3333,249.25,556.24,0.4481,123.29,-104.08,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2021-08,-233.88,4,1,3,0.25,58.83,292.71,0.201,58.83,-100.11,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2021-09,482.65,14,8,6,0.5714,951.61,468.96,2.0292,161.78,-96.29,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
SOLUSDT,2021-10,53.07,19,9,10,0.4737,951.05,897.98,1.0591,127.35,-102.42,P39_CAND_0551:BB Expansion Long,NEW_YORK,positive
SOLUSDT,2021-11,-386.93,11,3,8,0.2727,279.97,666.9,0.4198,126.23,-102.33,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2021-12,-60.17,9,4,5,0.4444,424.94,485.11,0.876,122.55,-98.7,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2022-01,-263.4,5,1,4,0.2,119.06,382.46,0.3113,119.06,-97.27,P39_CAND_0551:BB Expansion Short,NEW_YORK,negative
SOLUSDT,2022-02,63.68,11,6,5,0.5455,531.87,468.19,1.136,119.81,-96.52,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
SOLUSDT,2022-03,-83.6,8,3,5,0.375,346.71,430.32,0.8057,117.53,-97.6,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
SOLUSDT,2022-04,490.07,10,7,3,0.7,778.79,288.72,2.6974,120.4,-97.85,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
SOLUSDT,2022-05,227.39,11,6,5,0.5455,718.53,491.14,1.463,128.07,-99.72,P39_CAND_0551:BB Expansion Short,NEW_YORK,positive
SOLUSDT,2022-06,-120.78,10,4,6,0.4,482.99,603.77,0.8,130.64,-102.33,P39_CAND_0551:BB Expansion Long,NEW_YORK,negative
