setup,pnl,trades,pf,dd,stress_pnl,verdict
Precision Fusion 1.2 Core,21684.99,325,2.42,0.1087,15922.97,BENCHMARK
PF 1.2 + Second Retest Sleeve,24835.39,450,2.38,0.1087,17820.4,ACCEPTED_PARETO_IMPROVEMENT
PF 7.0 Router Portfolio (PF 1.2 + All sleeves),29386.59,625,2.28,0.115,19250.4,ACCEPTED_ELITE_PORTFOLIO
