fusion_name,net_pnl,trades,profit_factor,max_drawdown_pct,win_rate,positive_months,negative_months,composite_score,status
fusion_v1_repaired,11205.2,557,1.2522,16.2186,0.5404,52,25,1.09,EXECUTED
fusion_v1_higher_tp,9237.6,550,1.222,15.6038,0.5236,51,26,1.066,EXECUTED
fusion_v1_adx25,11205.2,557,1.2522,16.2186,0.5404,52,25,1.09,EXECUTED
fusion_v1_monthly_gov,8682.78,501,1.2243,14.636,0.5349,47,30,1.0779,EXECUTED
fusion_v1_sl_tight,8546.86,557,1.2025,15.7335,0.5224,49,28,1.0452,EXECUTED
fusion_conservative,8797.1,554,1.2068,16.7234,0.5162,49,28,1.0396,EXECUTED
fusion_stress_hardened,9442.15,556,1.207,16.2117,0.5036,49,28,1.0449,EXECUTED
fusion_v1_plus_best_new_cand,11205.2,557,1.2522,16.2186,0.5404,52,25,1.09,EXECUTED
