metric,floor_1h,event_5m,teacher_replay
Net PnL,8426.087966035951,-9940.722026670763,18563.591349529168
Trades,490.0,3111.0,325.0
Profit Factor,1.236505598159711,0.6441043118089674,2.2416137612184177
Win Rate,0.5285714285714286,0.30408228865316617,0.6092307692307692
