sleeve_id,source_phase34_id,family,candidate_hash,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown_pct,trades,win_rate,winning_trades,losing_trades,average_win,average_loss,expectancy,largest_win,largest_loss,positive_months,negative_months,zero_months,best_month,worst_month,stress_pass_count,stress_fail_count,combined_adverse_pnl,combined_adverse_dd,candidate_status,trade_log_path,trade_log_hash,params,execution_status
P35_CONSERVATIVE_QUALITY_PLUS,Phase33,conservative_quality,02eabb14218e8d6c,49.01,9400.68,9351.67,1.0052,9.7015,203,0.4532,92,111,102.18,-84.25,0.24,117.42,-100.93,33,29,16,350.83,-375.42,6,9,-1348.58,17.6051,RESEARCH_ONLY_NOT_SELECTED,reports/phase35_P35_CONSERVATIVE_QUALITY_PLUS_trade_log.csv,ad1c215e3cc63eea4669ac0ba793aba27955ac9bb839c6896354d9e05c444b96,"{""adx_min"": 20, ""atr_pct_min"": 0.45, ""bb_width_min"": 0.04, ""dynamic_risk_multiplier"": 0.85, ""funding_abs_max"": 0.0008, ""max_bad_wick"": 0.42, ""max_cost_to_risk"": 0.12, ""min_body_ratio"": 0.2, ""min_expected_R"": 1.25, ""session_mode"": ""NO_OFF_HOURS"", ""sl_atr_mult"": 1.9, ""time_stop"": 72, ""tp_atr_mult"": 2.75, ""volume_trend_min"": 1.0}",INDEPENDENT_SIGNAL_LEVEL_ENGINE_RUN
STRAT4_P35_SESSION_EXPANSION,P34_0219,session_expansion,00e21f44a07a03dc,-2001.11,20904.21,22905.32,0.9126,25.5275,488,0.4549,222,266,94.16,-86.11,-4.1,131.17,-113.59,26,44,8,508.21,-338.48,0,15,-3925.28,40.887,RESEARCH_ONLY_NOT_SELECTED,reports/phase35_STRAT4_P35_SESSION_EXPANSION_trade_log.csv,cc0ee1ea11c80df9041f0d917eddb6c6c4d1fecc1ae96344c858111f3ad4ad17,"{""adx_min"": 14, ""bb_width_min"": 0.028, ""funding_abs_max"": 0.0015, ""max_cost_to_risk"": 0.13, ""min_body_ratio"": 0.2, ""min_expected_R"": 1.1, ""min_projected_net_R"": 0.7, ""session_mode"": ""NO_OFF_HOURS"", ""sl_atr_mult"": 1.85, ""time_stop"": 72, ""tp_atr_mult"": 2.45, ""volume_trend_min"": 0.85}",INDEPENDENT_SIGNAL_LEVEL_ENGINE_RUN
STRAT6_P35_LOW_R_FRICTION,P34_0002,low_friction_momentum,f7779ad523bc7456,-1340.47,6228.89,7569.37,0.8229,16.7942,149,0.4564,68,81,91.6,-93.45,-9.0,116.39,-111.27,19,35,24,311.35,-244.21,0,15,-2542.52,25.3862,RESEARCH_ONLY_NOT_SELECTED,reports/phase35_STRAT6_P35_LOW_R_FRICTION_trade_log.csv,5d00d76aa4535e3f9938ce9e31928aa1f29837262c90dbc8f2cac5959a5926aa,"{""atr_pct_min"": 0.3, ""bb_width_min"": 0.035, ""funding_abs_max"": 0.0018, ""max_cost_to_risk"": 0.18, ""min_expected_R"": 1.1, ""rsi_long_max"": 76, ""rsi_short_min"": 24, ""session_mode"": ""ALL"", ""sl_atr_mult"": 1.8, ""time_stop"": 120, ""tp_atr_mult"": 2.25, ""volume_trend_min"": 0.8}",INDEPENDENT_SIGNAL_LEVEL_ENGINE_RUN
STRAT2_P35_COST_ATR_BREAKOUT,P34_0217,cost_to_atr_breakout,f9ebc693c352eae5,-2137.0,8645.93,10782.92,0.8018,20.6648,210,0.4238,89,121,97.15,-89.12,-10.18,120.94,-113.24,22,32,24,420.27,-284.02,0,15,-3595.7,35.413,RESEARCH_ONLY_NOT_SELECTED,reports/phase35_STRAT2_P35_COST_ATR_BREAKOUT_trade_log.csv,c8e1cbda0595cecac90e1b6558a9e26daa5ef4f7e56151dd9c771a86d08bd570,"{""adx_min"": 15, ""bb_width_min"": 0.03, ""funding_abs_max"": 0.0015, ""max_bad_wick"": 0.55, ""max_cost_to_risk"": 0.1, ""session_mode"": ""NO_OFF_HOURS"", ""sl_atr_mult"": 1.8, ""time_stop"": 96, ""tp_atr_mult"": 2.35, ""volume_trend_min"": 0.85}",INDEPENDENT_SIGNAL_LEVEL_ENGINE_RUN
STRAT5_P35_STRESS_HARDENED,P34_0218,same_candle_hardened,9f79e72d78359c60,-3036.51,6800.53,9837.04,0.6913,29.7177,197,0.401,79,118,86.08,-83.36,-15.41,127.37,-109.41,18,36,24,246.17,-331.12,0,15,-4074.79,40.5874,RESEARCH_ONLY_NOT_SELECTED,reports/phase35_STRAT5_P35_STRESS_HARDENED_trade_log.csv,067251f5c08ba0c3239924e6114a7f67f0daa4bfa74cbd45b52760b851f77701,"{""adx_min"": 18, ""bb_width_min"": 0.035, ""funding_abs_max"": 0.0012, ""max_bad_wick"": 0.35, ""max_cost_to_risk"": 0.1, ""min_body_ratio"": 0.22, ""min_expected_R"": 1.0, ""min_mid_distance_atr"": 0.2, ""session_mode"": ""NO_OFF_HOURS"", ""sl_atr_mult"": 1.9, ""time_stop"": 72, ""tp_atr_mult"": 2.55, ""volume_trend_min"": 0.95}",INDEPENDENT_SIGNAL_LEVEL_ENGINE_RUN
STRAT3_P35_PROJECTED_NET_R,P34_0007,projected_net_r_breakout,51afcc1db2d2e174,-2377.14,4690.44,7067.58,0.6637,23.1244,131,0.3664,48,83,97.72,-85.15,-18.15,129.68,-110.57,18,29,31,246.23,-305.2,0,15,-3017.74,29.4637,RESEARCH_ONLY_NOT_SELECTED,reports/phase35_STRAT3_P35_PROJECTED_NET_R_trade_log.csv,fe3a8d35855abda0d4553d5b5da787cc4a8fbdc440768face5b487b2a979518b,"{""adx_min"": 16, ""atr_pct_min"": 0.35, ""max_bad_wick"": 0.52, ""max_cost_to_risk"": 0.1, ""min_projected_net_R"": 0.9, ""rsi_long_max"": 72, ""rsi_short_min"": 28, ""session_mode"": ""NO_OFF_HOURS"", ""sl_atr_mult"": 1.75, ""time_stop"": 96, ""tp_atr_mult"": 2.45}",INDEPENDENT_SIGNAL_LEVEL_ENGINE_RUN
