system,status,net_pnl,trades,profit_factor,max_dd_pct,positive_months,negative_months,zero_months,win_rate,winners,losers,average_winner,average_loser,expectancy,avg_r,best_trade,worst_trade,combined_adverse,trade_log_hash,source
Variant C protected teacher/reference,TEACHER_TRADESET_RECONSTRUCTED,20455.48329711572,318,2.3380063935798527,10.865101101285742,54,16,8,0.6446540880503144,205,113,174.35860659670135,-135.29231022308014,64.32541917331987,0.4532559771624334,289.9062559903471,-185.4519674662941,15550.453247657932,28e88facffb27f00e3117d7e8874d48a09281979205faa1ab82ea9cebcf97e95,phase17_3/phase21 reconstructed Variant C
Variant C live-known executable proxy,EXECUTABLE_PROXY_NOT_EXACT,3032.8952229687984,253,1.1974797471713639,11.195097057310182,43,26,9,0.5138339920948617,130,123,141.4684741023235,-124.86184073441675,11.987728154026872,0.18196451907180936,177.99115758465226,-171.1852148895485,806.3424360765293,7ea03dac3a5fd66c2a2c6fc1539c72b3d35ae3ef01e2d0f45f4c92507c0be030,CAND_C_CFG UniversalStrategyTemplate
