family,behavior_cluster,candidates,avg_pnl,max_pf
cost_to_atr_gate,e2f9d1c3c79728ee,1,-481.88,0.8315
cost_to_atr_gate,ef2e55df10c6eef3,1,-82.61,0.9564
cost_to_atr_gate,f816f9963f20968c,1,1602.35,1.2368
high_pf_low_frequency,007fe3f31fa97af6,1,-295.87,0.8759
high_pf_low_frequency,1250ca428e1dd759,1,147.34,1.1247
high_pf_low_frequency,135ea907c945318a,1,-160.68,0.8025
high_pf_low_frequency,163bec827aa7f9dc,1,-170.21,0.9405
high_pf_low_frequency,16d609e7378dc231,1,-23.06,0.993
high_pf_low_frequency,1b88654920115a09,1,-239.36,0.8248
high_pf_low_frequency,1f1239fdeb22253f,1,2285.86,1.3395
high_pf_low_frequency,230776e3538634d0,1,6279.31,1.3754
high_pf_low_frequency,2622d14dee34bac9,1,2983.95,1.1907
high_pf_low_frequency,2a40cafc9f577a87,1,2279.88,1.3198
high_pf_low_frequency,3903228f120f9be0,1,8797.2,1.3938
high_pf_low_frequency,6502bc207a3d4bb1,1,946.03,1.0379
high_pf_low_frequency,6784d2b22d310272,1,0.0,0.0
high_pf_low_frequency,719ebd271e47c9bf,1,0.0,0.0
high_pf_low_frequency,7cf2d54a482c6fa6,1,2390.56,1.4115
high_pf_low_frequency,962294685bef09dc,1,5.67,1.0034
high_pf_low_frequency,a38a2034b4361e8f,1,-28.42,0.9586
high_pf_low_frequency,a4278b61500dd401,1,3409.23,1.2334
high_pf_low_frequency,a660878fda6ba411,1,-87.72,0.9491
high_pf_low_frequency,a932bfa457ff349e,1,5750.16,1.2545
high_pf_low_frequency,acf95b35001183de,1,9273.69,1.3505
high_pf_low_frequency,ad0ba2bfc192a6ac,1,0.0,0.0
high_pf_low_frequency,bee526b23057a117,1,-318.93,0.3395
high_pf_low_frequency,c19eaf200986f50e,1,0.0,0.0
high_pf_low_frequency,c28dadf766016c1b,1,757.07,1.1375
high_pf_low_frequency,c385b988be210679,1,0.0,0.0
high_pf_low_frequency,c7611fe7cc56231d,1,-192.43,0.9197
high_pf_low_frequency,d7c6494fd3d7eec6,1,5974.47,1.4393
high_pf_low_frequency,eeb6a4d86b496105,1,-278.45,0.8404
high_pf_low_frequency,ff7d210b768ad9d4,1,689.16,1.3548
low_r_filtered,01879471252eda55,1,7504.35,1.2476
low_r_filtered,01b4fd9d6976de5d,1,650.73,1.5447
low_r_filtered,101edcbec955fa1c,1,2699.85,1.1958
