metric,recomputed,phase31_claimed,diff
net_pnl,4246.75,4246.75,0.0
trades,359.0,359.0,0.0
profit_factor,1.2051,1.21,-0.004899999999999904
max_drawdown_pct,9.5138,9.51,0.0038000000000000256
positive_months,34.0,53.0,-19.0
negative_months,35.0,19.0,16.0
