codex_rel_path,antigravity_rel_path,size_kb,action,notes
phase29_3_recovered_candidate_registry.csv,reports\phase29_3_recovered_candidate_registry.csv,410.5,COPIED_NEW,
phase29_3_recovered_candidate_results.csv,reports\phase29_3_recovered_candidate_results.csv,548.1,COPIED_NEW,
phase29_3_sleeve_standalone_results.csv,reports\phase29_3_sleeve_standalone_results.csv,1.8,COPIED_NEW,
phase29_3_variant_b_rebuild.csv,reports\phase29_3_variant_b_rebuild.csv,1.0,COPIED_NEW,
phase29_3_variant_c_rebuild.csv,reports\phase29_3_variant_c_rebuild.csv,1.0,COPIED_NEW,
phase29_4_audit_manifest.json,reports\phase29_4_audit_manifest.json,2.6,COPIED_NEW,
phase29_4_dirty_pf8_recovery_results.csv,reports\phase29_4_dirty_pf8_recovery_results.csv,1.4,COPIED_NEW,
phase29_4_entry_time_feature_table.csv,reports\phase29_4_entry_time_feature_table.csv,636.0,COPIED_NEW,
phase29_4_final_benchmark_comparison.csv,reports\phase29_4_final_benchmark_comparison.csv,2.1,COPIED_NEW,
phase29_4_live_automation_audit.md,reports\phase29_4_live_automation_audit.md,0.9,COPIED_NEW,
phase29_4_local_evidence_inventory.csv,reports\phase29_4_local_evidence_inventory.csv,168.9,COPIED_NEW,
phase29_4_pf12_live_router_metrics.csv,reports\phase29_4_pf12_live_router_metrics.csv,1.0,COPIED_NEW,
phase29_4_pf12_live_router_trade_log.csv,reports\phase29_4_pf12_live_router_trade_log.csv,55.7,COPIED_NEW,
phase29_4_pf12_trade_match_gap_audit.csv,reports\phase29_4_pf12_trade_match_gap_audit.csv,12.6,COPIED_NEW,
phase29_4_precision_fusion_teacher_distillation_and_live_recovery_report.md,reports\phase29_4_precision_fusion_teacher_distillation_and_live_recovery_report.md,5.2,COPIED_NEW,
phase29_4_teacher_canonical_sets.csv,reports\phase29_4_teacher_canonical_sets.csv,0.9,COPIED_NEW,
phase29_4_teacher_distilled_rules.csv,reports\phase29_4_teacher_distilled_rules.csv,1.9,COPIED_NEW,
phase29_4_teacher_vs_floor_diff.csv,reports\phase29_4_teacher_vs_floor_diff.csv,74.4,COPIED_NEW,
phase29_4_variant_b_rescue_rebuild_results.csv,reports\phase29_4_variant_b_rescue_rebuild_results.csv,1.4,COPIED_NEW,
phase29_4_variant_c_live_rebuild_results.csv,reports\phase29_4_variant_c_live_rebuild_results.csv,2.0,COPIED_NEW,
phase29_5_audit_manifest.json,reports\phase29_5_audit_manifest.json,2.6,COPIED_NEW,
phase29_5_benchmark_stack_comparison.csv,reports\phase29_5_benchmark_stack_comparison.csv,2.4,COPIED_NEW,
phase29_5_candidate_registry.csv,reports\phase29_5_candidate_registry.csv,549.0,COPIED_NEW,
phase29_5_candidate_results.csv,reports\phase29_5_candidate_results.csv,882.6,COPIED_NEW,
phase29_5_dirty_pf8_upgrade_results.csv,reports\phase29_5_dirty_pf8_upgrade_results.csv,1.7,COPIED_NEW,
phase29_5_live_automation_audit.md,reports\phase29_5_live_automation_audit.md,1.1,COPIED_NEW,
phase29_5_local_evidence_map.csv,reports\phase29_5_local_evidence_map.csv,161.2,COPIED_NEW,
phase29_5_major_precision_fusion_breakthrough_report.md,reports\phase29_5_major_precision_fusion_breakthrough_report.md,3.3,COPIED_NEW,
phase29_5_mtf_data_alignment_audit.csv,reports\phase29_5_mtf_data_alignment_audit.csv,0.6,COPIED_NEW,
phase29_5_pf12_executable_router_results.csv,reports\phase29_5_pf12_executable_router_results.csv,3.0,COPIED_NEW,
phase29_5_pf12_executable_router_trade_log.csv,reports\phase29_5_pf12_executable_router_trade_log.csv,113.6,COPIED_NEW,
phase29_5_pf12_trade_match_gap_audit.csv,reports\phase29_5_pf12_trade_match_gap_audit.csv,15.5,COPIED_NEW,
phase29_5_teacher_mtf_trigger_match.csv,reports\phase29_5_teacher_mtf_trigger_match.csv,80.7,COPIED_NEW,
phase29_5_variant_b_rescue_mtf_results.csv,reports\phase29_5_variant_b_rescue_mtf_results.csv,2.3,COPIED_NEW,
phase29_5_variant_c_mtf_results.csv,reports\phase29_5_variant_c_mtf_results.csv,2.2,COPIED_NEW,
phase29_6_audit_manifest.json,reports\phase29_6_audit_manifest.json,3.0,COPIED_NEW,
phase29_6_engine_design_spec.md,reports\phase29_6_engine_design_spec.md,0.8,COPIED_NEW,
phase29_6_entry_model_results.csv,reports\phase29_6_entry_model_results.csv,3.2,COPIED_NEW,
phase29_6_execution_rule_recovery_audit.csv,reports\phase29_6_execution_rule_recovery_audit.csv,17.8,COPIED_NEW,
phase29_6_exit_model_results.csv,reports\phase29_6_exit_model_results.csv,1.9,COPIED_NEW,
phase29_6_finalist_stress_results.csv,reports\phase29_6_finalist_stress_results.csv,3.6,COPIED_NEW,
phase29_6_live_automation_audit.md,reports\phase29_6_live_automation_audit.md,1.0,COPIED_NEW,
phase29_6_monthly_yearly_tables.csv,reports\phase29_6_monthly_yearly_tables.csv,14.1,COPIED_NEW,
phase29_6_mtf_data_alignment_audit.csv,reports\phase29_6_mtf_data_alignment_audit.csv,83.9,COPIED_NEW,
phase29_6_pf12_mtf_engine_results.csv,reports\phase29_6_pf12_mtf_engine_results.csv,0.8,COPIED_NEW,
phase29_6_pf12_mtf_trade_log.csv,reports\phase29_6_pf12_mtf_trade_log.csv,1755.5,COPIED_NEW,
phase29_6_pf8_sleeve_results.csv,reports\phase29_6_pf8_sleeve_results.csv,0.6,COPIED_NEW,
phase29_6_router_conflict_audit.csv,reports\phase29_6_router_conflict_audit.csv,6096.2,COPIED_NEW,
phase29_6_trade_traceability.csv,reports\phase29_6_trade_traceability.csv,19.1,COPIED_NEW,
phase29_6_true_5m_event_driven_mtf_engine_report.md,reports\phase29_6_true_5m_event_driven_mtf_engine_report.md,3.9,COPIED_NEW,
phase29_6_variant_b_mtf_engine_results.csv,reports\phase29_6_variant_b_mtf_engine_results.csv,0.6,COPIED_NEW,
phase29_6_variant_c_mtf_engine_results.csv,reports\phase29_6_variant_c_mtf_engine_results.csv,0.6,COPIED_NEW,
phase29_absolute_truth_audit_full_project_report.md,reports\phase29_absolute_truth_audit_full_project_report.md,31.0,COPIED_NEW,
phase29_audit_manifest.json,reports\phase29_audit_manifest.json,5.1,COPIED_NEW,
phase29_benchmark_reproduction.csv,reports\phase29_benchmark_reproduction.csv,3.1,COPIED_NEW,
