asset,timeframe,exists,rows,start,end,sha256,phase29_2_use
BTCUSDT,1h,YES,56929,2020-01-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,0d9f63bc016b203ea5774a97bdf6ef974d13e2cff9af3d81a9fa02532514b26a,USED_1H_ENGINE
BTCUSDT,15m,YES,227521,2020-01-01 00:00:00+00:00,2026-06-28 00:00:00+00:00,33a6f59eb1d7700c89299bb65ade626d465fffd9584257ad83f179a35a5c1320,AVAILABLE_FOR_FUTURE_CONFIRMATION_NOT_EXECUTED_IN_29_2
BTCUSDT,5m,NO,0,,,,MISSING_NOT_USED
ETHUSDT,1h,YES,56929,2020-01-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,30db51f322bad4874dfacc0dbbf37c159b8125064453a56c9c41d2328f072af8,AVAILABLE_NOT_WIRED
BNBUSDT,1h,YES,55961,2020-02-10 08:00:00+00:00,2026-06-30 00:00:00+00:00,756cd4158b8a97602ba8102d413a3e2384598cc8823f2d4b7aa1d5aff8caca25,AVAILABLE_NOT_WIRED
SOLUSDT,1h,YES,50754,2020-09-14 07:00:00+00:00,2026-06-30 00:00:00+00:00,a7221ce844fd9881a5f52322dead2bf7e94d87fde5b87630ba36c747fe4d2825,AVAILABLE_NOT_WIRED
