system,status,net_pnl,trades,profit_factor,max_dd_pct,positive_months,negative_months,zero_months,win_rate,winners,losers,average_winner,average_loser,expectancy,avg_r,best_trade,worst_trade,combined_adverse,trade_log_hash,proof_type
PF1.2 protected reconstructed trade set,TRADESET_RECONSTRUCTED_EXACT,21684.986096939287,325,2.4184289669893126,10.865101101285742,56,16,6,0.6523076923076923,212,113,174.40102430258182,-135.29231022308014,66.72303414442858,0.4752061909058632,289.9062559903471,-185.4519674662941,15922.970046540086,429dcb08a667976e1aa8f2f04e4bd74226e046a4f7ab50dc38d20a16be2c6222,reconstruct_pf12 replay
PF1.2 executable floor fusion rebuild,EXECUTABLE_FUSION_RUN_NOT_EXACT,8426.087966035951,490,1.236505598159711,16.50790461831111,48,29,1,0.5285714285714286,259,231,170.09082455580332,-154.2313229173901,17.19609788986929,0.18475367096669645,283.9654089369546,-233.25997210722974,163.03476379895824,dd549bddd07adc2079b300c41c4be7239960b391faa44469f1ab81053d0d02bb,build_p10_1_strategy through MultiPositionBacktestEngine
