atr_pct,wait,pnl,pf,dd,trades,maker,taker
0.3,1,8990.283325036697,1.2490754820177137,0.16275228241298825,500,75,425
0.3,2,8990.283325036697,1.2490754820177137,0.16275228241298825,500,75,425
0.3,3,8990.283325036697,1.2490754820177137,0.16275228241298825,500,75,425
0.3,4,8990.283325036697,1.2490754820177137,0.16275228241298825,500,75,425
0.4,1,9920.085739918737,1.2730306731732501,0.13625571275076195,505,105,400
0.4,2,9920.085739918737,1.2730306731732501,0.13625571275076195,505,105,400
0.4,3,9920.085739918737,1.2730306731732501,0.13625571275076195,505,105,400
0.4,4,9920.085739918737,1.2730306731732501,0.13625571275076195,505,105,400
0.5,1,10143.156304128303,1.2862606311477256,0.1337389697815253,490,135,355
0.5,2,10143.156304128303,1.2862606311477256,0.1337389697815253,490,135,355
0.5,3,10143.156304128303,1.2862606311477256,0.1337389697815253,490,135,355
0.5,4,10143.156304128303,1.2862606311477256,0.1337389697815253,490,135,355
0.6,1,8374.943759129434,1.2423062051791507,0.1542628501474069,503,183,320
0.6,2,8550.834269354616,1.2463086439106086,0.15339389769610884,503,183,320
0.6,3,8550.834269354616,1.2463086439106086,0.15339389769610884,503,183,320
0.6,4,8550.834269354616,1.2463086439106086,0.15339389769610884,503,183,320
0.7,1,8915.058202423947,1.2606280276986257,0.1412948793416898,495,208,287
0.7,2,9409.084266890413,1.2736270292458212,0.12329458002488702,494,209,285
0.7,3,9409.084266890413,1.2736270292458212,0.12329458002488702,494,209,285
0.7,4,9409.084266890413,1.2736270292458212,0.12329458002488702,494,209,285
0.8,1,8691.964909117472,1.2588951878056522,0.1453163120020734,495,238,257
0.8,2,8691.964909117472,1.2588951878056522,0.1453163120020734,495,238,257
0.8,3,8691.964909117472,1.2588951878056522,0.1453163120020734,495,238,257
0.8,4,8691.964909117472,1.2588951878056522,0.1453163120020734,495,238,257
