row_source,system,entry_time,entry_datetime,side,teacher_membership,floor_membership,session,hour,weekday,trend_direction,ema_slope_10,ema50_over_ema200,breakout_distance_atr,retest_depth_atr,wick_rejection_ratio,body_strength,close_location,atr_14,atr_pct,bb_width,bb_state,rsi_14,adx,adx_slope_3,volume_vs_ma20,funding_rate,funding_abs,expected_r_signal,cost_to_atr,has_btc_15m_current_repo,has_btc_5m_antigravity
floor_candidate,floor,1578646800000,2020-01-10 09:00:00+00:00,Long,YES,YES,london,9,4,bull,-57.68781387366471,YES,4.213591718025671,0.06099774278544131,0.631372549019615,0.13218954248364803,0.3686274509803849,69.51076886424997,0.5,0.028907148873051215,inside,33.60131222669534,20.800247601356286,1.7330226550576597,0.956866733598474,0.0001,0.0001,1.6765522624631293,0.18855337401886788,YES,YES
floor_candidate,floor,1578974400000,2020-01-14 04:00:00+00:00,Long,YES,YES,tokyo,4,1,bull,65.01986635319281,YES,0.6173412633918789,0.7709223862259399,0.5296034763715339,0.469310157523079,0.47039652362846607,72.9256290963697,0.4182400979833003,0.07372913993290096,above_upper,82.3708086724109,32.5349306477702,10.548974171197539,3.0134208155598685,0.0001,0.0001,1.3146811634589277,0.19753631444116146,YES,YES
floor_candidate,floor,1579050000000,2020-01-15 01:00:00+00:00,Short,YES,YES,tokyo,1,2,bull,151.29358851618053,YES,4.733123915131163,0.07720010912203558,0.6770472895040396,0.045674740484418615,0.7227220299884582,108.29000237273434,0.8390141763769251,0.05523010717768767,inside,70.15343881035561,60.482323367312155,1.285959440781248,0.8187654379975976,0.00049392,0.00049392,0.9842094490135486,0.13782260294564205,YES,YES
floor_candidate,floor,1579302000000,2020-01-17 23:00:00+00:00,Short,YES,YES,off,23,4,bull,45.067555318753875,YES,2.9720802278897445,0.25995741939653594,0.41280823132872285,0.45023948908995315,0.13695227958132403,80.32084657738088,0.47518105489397794,0.021679895663980847,inside,56.89476610935427,25.665325033074275,-1.265450572327012,0.5231535727730371,0.00056749,0.00056749,0.9478445698046972,0.18920766709497946,YES,YES
floor_candidate,floor,1579424400000,2020-01-19 09:00:00+00:00,Short,YES,YES,london,9,6,bull,80.21833550755218,YES,3.447980934592766,0.6125155752071043,0.31057142857142545,0.6118571428571418,0.07757142857143273,62.48004385367759,0.2652415859316183,0.048119934368597905,inside,57.6008344209196,20.576618952901054,-1.0646988487940945,0.9049409497392126,0.00039329,0.00039329,0.9113808942767299,0.24783577355137473,YES,YES
floor_candidate,floor,1579438800000,2020-01-19 13:00:00+00:00,Short,YES,YES,ny,13,6,bull,14.351832182414,YES,1.4092943122367954,0.004041061552617668,0.7923376623376652,0.061558441558438724,0.7923376623376652,96.50929462996886,0.7953740921220291,0.07460375509083594,below_lower,26.15165033573895,27.480828477389544,7.731850267493986,1.0947134388931423,0.00039329,0.00039329,1.331402687386683,0.1522172559267491,YES,YES
floor_candidate,floor,1579881600000,2020-01-24 16:00:00+00:00,Short,YES,YES,ny,16,4,bear,-27.61785961390524,NO,3.240069065781903,0.6139549958673933,0.2931357254290291,0.7068642745709709,0.0,66.94301744696195,0.37430492121881914,0.03343661202129002,inside,55.99306251543343,28.049257330528633,-3.692787563222776,1.1698400626875132,0.00042124,0.00042124,0.9392204432209859,0.2159821972688231,YES,YES
floor_candidate,floor,1580202000000,2020-01-28 09:00:00+00:00,Short,NO,YES,london,9,1,bull,134.5768683863589,YES,5.312667420626141,0.17455733799584844,0.501531549928524,0.357157443332653,0.14131100673882305,74.1303697029813,0.5812686874061506,0.05511555385191625,inside,58.280238551337646,45.08892754354906,-5.583862539598343,0.7347376243063689,0.00068689,0.00068689,0.9416725674053573,0.2063977295851078,YES,YES
floor_candidate,floor,1580245200000,2020-01-28 21:00:00+00:00,Short,NO,YES,off,21,1,bull,74.03052176492747,YES,1.9299669273804618,0.1266300511366523,0.7493098461942976,0.19771263310110335,0.05297752070459907,83.23458693566091,0.7409118331227311,0.019045678552425227,inside,58.24620110371702,32.32224314829934,-1.9566513155089922,0.6751247286469109,0.00054394,0.00054394,0.9476961362682481,0.18517602558554244,YES,YES
floor_candidate,floor,1580274000000,2020-01-29 05:00:00+00:00,Short,NO,YES,tokyo,5,2,bull,139.2105381948022,YES,5.127237389774503,0.29870311999920157,0.21864864864865258,0.6018918918919037,0.7813513513513474,90.08945068960708,0.7969355507819975,0.06923648851109436,inside,70.81614960146948,40.84133737851283,2.0570974735473797,0.3515773882468531,0.00062324,0.00062324,0.9552571567044643,0.1762470508861891,YES,YES
floor_candidate,floor,1580428800000,2020-01-31 00:00:00+00:00,Short,YES,YES,tokyo,0,4,bull,82.0536865022932,YES,3.3884677578483235,0.3855725257531443,0.40586519766687523,0.5912184057031784,0.0029163966299464183,82.26727238420376,0.6699954795930452,0.037437204560710584,inside,57.50628228956225,15.620196274939454,-1.5650224082627613,0.6970012336057954,0.00053551,0.00053551,0.9446846415625841,0.19674324346637512,YES,YES
floor_candidate,floor,1580641200000,2020-02-02 11:00:00+00:00,Short,YES,YES,london,11,6,bull,-1.9209010939994187,YES,4.949494815674546,0.22869934681776763,0.4748478051906203,0.26658122396671824,0.7414290291573385,57.14926685127778,0.22307531672206665,0.019215627774823104,inside,61.69441227563067,18.722605453053305,-2.183015117005116,0.6990221323867244,0.00034916,0.00034916,0.9157821021572113,0.28050508577331956,YES,YES
