system,status,net_pnl,trades,profit_factor,max_dd_pct,positive_months,negative_months,zero_months,win_rate,winners,losers,average_winner,average_loser,expectancy,avg_r,best_trade,worst_trade,combined_adverse,trade_log_hash,accepted_signals,rejected_signals,conflict_count,exit_model,same_candle_priority,probe_scope
exit_model_fixed_rr,EVENT_DRIVEN_5M_ENGINE,-1009.7137761580666,67,0.7297746306783742,13.612158495309556,2,5,71,0.3880597014925373,26,41,104.87876783630402,-91.13565219273102,-15.070354868030845,-0.05948784940301551,163.455439162048,-116.29126645000133,-2776.5208618911156,dc7153f13871d1430cbe6a5a2c5766a62c8a0183be9d8b1a8dfe418b0c391909,67,0,0,fixed_rr,SL_FIRST,TIMEBOXED_INITIAL_5000_1H_BARS
exit_model_breakeven_0_5r,EVENT_DRIVEN_5M_ENGINE,-1609.3318042566912,69,0.46538408730981623,17.505093617950767,1,6,71,0.15942028985507245,11,58,127.35692283080753,-51.90099923095818,-23.323649337053496,-0.15537441855924705,157.60828350000028,-113.90423164999956,-2962.8278185346926,5a40cc6d81c712952f6809224a88b2604a91a42c8c65803657f3d2baf3271433,69,0,0,breakeven_0_5r,SL_FIRST,TIMEBOXED_INITIAL_5000_1H_BARS
exit_model_trail_atr,EVENT_DRIVEN_5M_ENGINE,-1524.7552033003406,69,0.4739786929763136,17.255946970375447,1,6,71,0.17391304347826086,12,57,114.49179414079418,-50.853626894559135,-22.097901497106385,-0.14074809129613133,282.28205479999957,-110.79713860000102,-2914.006132068344,d0fee44e0675f5e7e104ca60ed8427c8add33e8ca368e5edf59ddfa7859401f3,69,0,0,trail_atr,SL_FIRST,TIMEBOXED_INITIAL_5000_1H_BARS
exit_model_time_stop,EVENT_DRIVEN_5M_ENGINE,-1765.3323891790594,69,0.3989610504319073,17.98297039157259,1,6,71,0.15942028985507245,11,58,106.52748799761362,-50.64025443366913,-25.58452737940666,-0.18221135232229752,155.34202060000027,-113.90423164999956,-3041.4126241330614,b56b25f2b546ae1a602f443a68c621ba018e14b5c7f9b50ed9e8e7331462b775,69,0,0,time_stop,SL_FIRST,TIMEBOXED_INITIAL_5000_1H_BARS
