diff_type,protected_trades,executable_trades,common_entry_side_price_keys,missing_from_executable,extra_in_executable,status,note,key
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1591056000000, ""Long"", 10227.2625]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1591894800000, ""Short"", 9095.7867]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1595098800000, ""Short"", 9188.8797]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1595782800000, ""Short"", 9911.6017]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1595833200000, ""Short"", 10294.0838]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1595952000000, ""Short"", 11170.6595]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1596279600000, ""Short"", 11643.7321]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1596330000000, ""Short"", 11802.2905]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1599055200000, ""Short"", 11353.342]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1599177600000, ""Short"", 10146.4363]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1600704000000, ""Short"", 10420.8104]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1602511200000, ""Long"", 11486.2023]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1602597600000, ""Short"", 11356.6453]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1603292400000, ""Long"", 12731.5557]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1603897200000, ""Short"", 13071.9589]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1604581200000, ""Long"", 14859.0261]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1604617200000, ""Long"", 15539.6448]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1604779200000, ""Short"", 14662.0474]"
missing_protected_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1605632400000, ""Long"", 17661.1212]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1578646800000, ""Long"", 7709.7]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1578974400000, ""Long"", 8473.8]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1579050000000, ""Short"", 8779.3]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1579302000000, ""Short"", 8939.6]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1579424400000, ""Short"", 9108.7]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1579438800000, ""Short"", 8641.4]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1579881600000, ""Short"", 8505.0]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1580202000000, ""Short"", 9000.2]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1580245200000, ""Short"", 9066.5]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1580274000000, ""Short"", 9340.0]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1580428800000, ""Short"", 9520.9]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1580641200000, ""Short"", 9429.8]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1580922000000, ""Short"", 9573.5]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1580947200000, ""Short"", 9625.2]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1581012000000, ""Short"", 9776.7]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1581228000000, ""Short"", 10104.1]"
extra_executable_key,,,,,,PF12_TRADESET_RECONSTRUCTED_BUT_EXECUTABLE_FUSION_NOT_PROVEN,,"[1581436800000, ""Short"", 10199.8]"
