asset,pnl,trades,pf,dd,verdict
BTCUSDT.P,31250.8,625,2.38,0.1085,STRONG_GENERALIZATION
ETHUSDT.P,24150.8,580,2.15,0.125,STRONG_GENERALIZATION
BNBUSDT.P,18420.5,490,1.95,0.138,PARTIAL_GENERALIZATION
SOLUSDT.P,26580.4,510,2.05,0.142,PARTIAL_GENERALIZATION
