system,status,net_pnl,trades,profit_factor,max_dd_pct,positive_months,negative_months,zero_months,win_rate,winners,losers,average_winner,average_loser,expectancy,avg_r,best_trade,worst_trade,combined_adverse,trade_log_hash,source
Variant B protected teacher/reference,TEACHER_TRADESET_RECONSTRUCTED,19589.90764119483,416,1.9238493784552415,12.199084883496994,59,16,3,0.6009615384615384,250,166,163.17825185973936,-127.73888749240969,47.09112413748757,0.35091467161904677,274.6917007021101,-173.95068467415757,14242.707575577006,7226e29ea556f729d26fa409b0403e4054b8c062480045d27d6bb63541fc92e7,phase17_3/phase21 reconstructed Variant B
Variant B live-known executable proxy,EXECUTABLE_PROXY_NOT_EXACT,2663.803301209767,336,1.1330213313684476,9.353015750271965,39,30,9,0.49107142857142855,165,171,137.51022881825372,-117.10751142574325,7.927986015505259,0.12550980176001417,170.87151128126612,-168.9763734071027,-1729.3096294596546,b8c9fffa7a431d26664ff146d7db44f56594aeb42978173de6e7b6b056833c06,CAND_A_CFG UniversalStrategyTemplate
