candidate_id,candidate_hash,family,template_type,min_expected_r,min_adx,max_funding_abs,min_15m_body,min_5m_wick,session_mode,require_5m_vwap_reclaim,trail_atr_mult,breakeven_atr_mult,time_stop,net_pnl,trades,profit_factor,max_dd_pct,positive_months,negative_months,zero_months,win_rate,winners,losers,average_winner,average_loser,expectancy,avg_r,best_trade,worst_trade,combined_adverse,trade_log_hash,status,engine_run_index,score,beats_pf12_teacher
P295_03438,869a504c1b12d6e7,funding_ny_hardening,hh_hl_continuation,1.4,10,0.0006,0.5,0.2,london_ny,False,,,24,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03439,c3cae76e073c8220,exit_risk,hh_hl_continuation,1.55,10,0.0006,0.5,0.2,tokyo_london,False,1.2,,24,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03440,7078e4dfdd7ed189,variant_c_mtf,bollinger_expansion_breakout,1.1,10,0.00025,0.5,0.2,all,True,1.5,0.8,48,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03441,134b37be261573f7,variant_b_rescue_mtf,bollinger_expansion_breakout,1.2,12,0.00025,0.5,0.2,london_ny,False,,0.8,48,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03442,118e71774fd56312,pf12_fusion_mtf,bollinger_expansion_breakout,1.3,12,0.00025,0.5,0.2,tokyo_london,False,1.2,1.2,48,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03443,0f21f071521d8ebf,dirty_pf8_pruning,bollinger_expansion_breakout,1.4,12,0.00025,0.5,0.3,all,False,1.5,1.2,48,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03444,293698d3d43d2132,vwap_reclaim,bollinger_expansion_breakout,1.55,14,0.00025,0.2,0.3,london_ny,True,,,,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03445,0ed9a62b8aee4fea,second_retest,bollinger_expansion_breakout,1.1,14,0.00035,0.2,0.3,tokyo_london,False,1.2,,,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03446,d85e4e169a290af7,london_tokyo,bollinger_expansion_breakout,1.2,14,0.00035,0.2,0.3,all,False,1.5,0.8,,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03447,9121df09c3299cd8,expected_r,bollinger_expansion_breakout,1.3,16,0.00035,0.2,0.3,london_ny,False,,0.8,,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03448,f1a01a3b0a1d1b17,funding_ny_hardening,bollinger_expansion_breakout,1.4,16,0.00035,0.2,0.3,tokyo_london,True,1.2,1.2,24,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03449,1f1a7f78f58e2a80,exit_risk,bollinger_expansion_breakout,1.55,16,0.00035,0.2,0.3,all,False,1.5,1.2,24,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03450,c4500b36c20d50be,variant_c_mtf,atr_volatility_expansion,1.1,18,0.00045,0.2,0.3,london_ny,False,,,24,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03451,c26fded4c6d8113d,variant_b_rescue_mtf,atr_volatility_expansion,1.2,18,0.00045,0.3,0.3,tokyo_london,False,1.2,,24,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03452,eb09aa5314f90128,pf12_fusion_mtf,atr_volatility_expansion,1.3,18,0.00045,0.3,0.3,all,True,1.5,0.8,48,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03453,cf34518a8040a416,dirty_pf8_pruning,atr_volatility_expansion,1.4,20,0.00045,0.3,0.3,london_ny,False,,0.8,48,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
P295_03454,2237878770caa9af,vwap_reclaim,atr_volatility_expansion,1.55,20,0.00045,0.3,0.4,tokyo_london,False,1.2,1.2,48,,,,,,,,,,,,,,,,,,,REGISTERED_NOT_EXECUTED_TIMEBOXED,,,
