strategy,entry_time,entry_datetime,exit_time,exit_datetime,side,entry_price,exit_price,raw_exit_price,stop_loss,take_profit,size,gross_pnl,fees,entry_slippage,exit_slippage,slippage,funding,net_pnl,capital_after,reason,R,hold_candles,is_limit,is_fallback_market,is_partial_fill,is_adverse_selection,exit_datetime_parsed,month,year,session,same_candle,source_sleeve,expected_R,total_friction_cost,cost_to_risk,projected_net_R
P37_CAND_0360:BB Expansion Short,1579438800000,2020-01-19 13:00:00+00:00,1579780800000,2020-01-23 12:00:00+00:00,Short,8641.4,8404.925338484236,8400.724975996238,8822.16801728271,8400.724975996238,0.567,134.08113307943802,4.83263323346028,2.466450000000206,2.3816055306949018,4.848055530695108,-11.598162458299198,140.84666230427692,10140.846662304275,TP Hit,1.3081664835983273,95,False,False,False,False,2020-01-23 12:00:00,2020-01,2020,NEW_YORK,False,P37_CAND_0360:BB Expansion Short,1.331402687386683,21.278851222454584,0.11771358419656636,1.1237949551176065
P37_CAND_0360:Funding Reversal Short,1580202000000,2020-01-28 09:00:00+00:00,1580220000000,2020-01-28 14:00:00+00:00,Short,9000.2,9161.48001629687,9156.901565514114,9156.901565514114,8852.638434485887,0.667,-107.57377087001149,6.056920285435007,3.0348499999995147,3.0538266720980394,6.088676672097554,0.0,-113.63069115544648,10027.21597114883,SL Hit,-1.029217645450666,5,False,False,False,False,2020-01-28 14:00:00,2020-01,2020,LONDON,False,P37_CAND_0360:Funding Reversal Short,0.9416725674053573,12.145596957532561,0.07750782142912724,0.8254689370768308
P37_CAND_0360:Funding Reversal Short,1580288400000,2020-01-29 09:00:00+00:00,1580342400000,2020-01-30 00:00:00+00:00,Short,9390.3,9233.949198486407,9229.334531220797,9560.665468779203,9229.334531220797,0.605,94.59223491572325,5.633835382542138,2.8435000000004402,2.7918736956943393,5.6353736956947795,-7.412348045173499,96.37074757835462,10123.586718727183,TP Hit,0.9177376297788661,15,False,False,False,False,2020-01-30 00:00:00,2020-01,2020,LONDON,False,P37_CAND_0360:Funding Reversal Short,0.9448244995458324,18.681557123410418,0.10965577271777982,0.763575288442064
P37_CAND_0360:Funding Reversal Short,1580418000000,2020-01-30 21:00:00+00:00,1580446800000,2020-01-31 05:00:00+00:00,Short,9579.8,9414.029637039175,9409.3249745519,9760.5350254481,9409.3249745519,0.576,95.48372906543464,5.470222935467282,2.7532800000003768,2.7098855926701795,5.463165592670556,-2.9382287280191997,92.95173485798657,10216.538453585168,TP Hit,0.9172010934229576,8,False,False,False,False,2020-01-31 05:00:00,2020-01,2020,NEW_YORK,False,P37_CAND_0360:Funding Reversal Short,0.9432318114623097,13.871617256157037,0.07675112901754821,0.8099833235846219
P37_CAND_0360:Funding Reversal Short,1581004800000,2020-02-06 16:00:00+00:00,1581213600000,2020-02-09 02:00:00+00:00,Short,9795.2,9982.856775649478,9977.867841728614,9977.867841728614,9622.392158271385,0.575,-107.90264599844922,5.686191322999225,2.8347499999991213,2.8686370044967586,5.70338700449588,-21.2087834730525,-92.38005384839593,10124.158399736772,SL Hit,-1.027311506358497,58,False,False,False,False,2020-02-09 02:00:00,2020-02,2020,NEW_YORK,False,P37_CAND_0360:Funding Reversal Short,0.9460222450394645,32.59836180054761,0.17845703705734112,0.6356621805919147
P37_CAND_0360:Low-Activity Filler Long,1581332400000,2020-02-10 11:00:00+00:00,1581433200000,2020-02-11 15:00:00+00:00,Long,9859.5,10141.756878775393,10146.830293922354,9687.579832044368,10146.830293922354,0.606,171.04766853788846,6.060380834268944,2.987580000000176,3.0744895790580884,6.062069579058265,13.9377047823126,151.04958292130692,10275.207982658081,TP Hit,1.6417903852224995,28,False,False,False,False,2020-02-11 15:00:00,2020-02,2020,LONDON,False,P37_CAND_0360:Low-Activity Filler Long,1.6713006818170786,26.06015519563981,0.15158288585644747,1.4211639064764061
P37_CAND_0360:Funding Reversal Short,1581440400000,2020-02-11 17:00:00+00:00,1581490800000,2020-02-12 07:00:00+00:00,Short,10263.3,10458.453453792588,10453.226840372403,10453.226840372403,10083.813159627598,0.556,-108.50532030867953,5.76064746015434,2.880080000000162,2.905997061623115,5.786077061623278,-17.06487432,-97.20109344883387,10178.006889209248,SL Hit,-1.0275190879284741,14,False,False,False,False,2020-02-12 07:00:00,2020-02,2020,NEW_YORK,False,P37_CAND_0360:Funding Reversal Short,0.9450314659079683,28.61159884177762,0.15064536842542497,0.6740865586679954
P37_CAND_0360:ATR Expansion Long,1581606000000,2020-02-13 15:00:00+00:00,1581778800000,2020-02-15 15:00:00+00:00,Long,10265.1,10006.23507053969,10011.240690885132,10011.240690885132,10632.288963672301,0.41,-106.13462107872752,4.155623689460636,2.1033000000004174,2.05230434163137,4.155604341631788,17.644812257452,-127.93505702564015,10050.071832183608,SL Hit,-1.0197180885857424,48,False,False,False,False,2020-02-15 15:00:00,2020-02,2020,NEW_YORK,False,P37_CAND_0360:ATR Expansion Long,1.4464270187789399,25.956040288544422,0.10224576904051837,1.1970470942898706
P37_CAND_0360:Funding Reversal Short,1582102800000,2020-02-19 09:00:00+00:00,1582146000000,2020-02-19 21:00:00+00:00,Short,10163.2,9996.135856891251,9991.140286747877,10346.619713252121,9991.140286747877,0.565,94.39124085644357,5.695012379571779,2.864549999999835,2.822497131006139,5.687047131005974,-2.3314538093479995,91.0276822862198,10141.099514469826,TP Hit,0.9108298129280737,12,False,False,False,False,2020-02-19 21:00:00,2020-02,2020,LONDON,False,P37_CAND_0360:Funding Reversal Short,0.9380655448720389,13.713513319925752,0.07476575487322774,0.80573677518491
P37_CAND_0360:ATR Expansion Short,1582149600000,2020-02-19 22:00:00+00:00,1582430400000,2020-02-23 04:00:00+00:00,Short,9615.5,9909.653747558728,9904.701396860299,9904.701396860299,9185.472904709553,0.352,-103.54211914067237,3.4364270595703363,1.6931199999998205,1.7432274458472383,3.436347445847059,-5.175028960710399,-101.80351723953231,10039.295997230292,SL Hit,-1.0171242281406474,78,False,False,False,False,2020-02-23 04:00:00,2020-02,2020,OFF_HOURS,False,P37_CAND_0360:ATR Expansion Short,1.486946812702205,12.047803466127794,0.041658870243796206,1.368597749509602
