system,group,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown_pct,trades,win_rate,winning_trades,losing_trades,average_win,average_loss,expectancy,positive_months,negative_months,zero_months,best_month,worst_month,stress_pass_count,stress_fail_count,combined_adverse_pnl,combined_adverse_dd,live_known,trade_log_path,trade_log_hash,params,promotion_status
strategy1_1_candidate_cost_session,strategy1_1,6316.12,27050.67,20734.54,1.3046,12.9208,343,0.5335,183,160,147.82,-129.59,18.41,43,26,0,894.01,-483.95,7,8,-28372.98,275.6619,YES,reports/phase36_strategy1_1_candidate_cost_session_trade_log.csv,e504b8d0ae2d312c25f30008e1a73c384c8193e72facb97e5c8fe0511135bd4f,"{""disallowed_sources"": [""Low-Activity Filler Long""], ""max_cost_to_risk"": 0.12, ""off_hours_min_expected_R"": 1.45}",RESEARCH_ONLY_NOT_PROMOTED
strategy1_1_candidate_bb_atr_cost,strategy1_1,7474.76,34188.77,26714.01,1.2798,8.219,412,0.5218,215,197,159.02,-135.6,18.14,48,26,0,919.47,-535.3,7,8,-36587.35,352.7445,YES,reports/phase36_strategy1_1_candidate_bb_atr_cost_trade_log.csv,a44625ac5e7a89492bc3a846f7a01e2a35ee98b7466e99912e410f3d1a6de457,"{""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short""], ""max_cost_to_risk"": 0.14}",RESEARCH_ONLY_NOT_PROMOTED
strategy1_1_candidate_projected_R,strategy1_1,10143.55,40377.2,30233.65,1.3355,13.5266,438,0.5411,237,201,170.37,-150.42,23.16,49,28,0,877.21,-683.06,7,8,-37280.48,342.4735,YES,reports/phase36_strategy1_1_candidate_projected_R_trade_log.csv,c0c4ea3bba21a5b0e69706c75fddda5d967c202443b53eb6ba19d639a2a5d046,"{""min_projected_net_R"": 0.85, ""off_hours_min_expected_R"": 1.4}",RESEARCH_ONLY_NOT_PROMOTED
strategy1_1_candidate_low_activity_offhours,strategy1_1,9931.64,38962.2,29030.56,1.3421,9.2821,420,0.5524,232,188,167.94,-154.42,23.65,47,28,0,912.43,-584.99,8,7,-34459.25,319.2953,YES,reports/phase36_strategy1_1_candidate_low_activity_offhours_trade_log.csv,16590cc942ecffb48fc66d05ae22ff439943738ef2b236fbbe16be27fee13fc2,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""disallowed_sources"": [""Low-Activity Filler Long""]}",RESEARCH_ONLY_NOT_PROMOTED
