candidate_id,candidate_hash,family,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown_pct,trades,win_rate,winning_trades,losing_trades,average_win,average_loss,expectancy,positive_months,negative_months,zero_months,best_month,worst_month,stress_pass_count,stress_fail_count,combined_adverse_pnl,combined_adverse_dd,execution_status,live_known,trade_log_path,trade_log_hash,params,track_high_pnl,track_quality,track_stress,track_monthly,promotion_reason,score,registered_status,behavior_cluster
P37_CAND_0010,597b96e499ef3377,phase37_focused_strategy1_guard,8136.23,36436.6,28300.36,1.2875,10.7711,439.0,0.5308,233.0,206.0,156.38,-137.38,18.53,47.0,29.0,0.0,891.39,-547.54,7.0,8.0,-38009.98,361.5688,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK"", ""OFF_HOURS""], ""allowed_sources"": null, ""disallowed_sources"": [""Low-Activity Filler Long""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 15, ""min_atr_pct"": 0.0, ""min_bb_width"": 0.02, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.0, ""off_hours_min_expected_R"": 1.45}",False,False,False,False,NOT_PROMOTED,20.8257,,
P37_CAND_0011,15a02eb88dca7429,phase37_focused_strategy1_guard,6728.44,30727.1,23998.65,1.2804,12.4272,393.0,0.5318,209.0,184.0,147.02,-130.43,17.12,46.0,29.0,0.0,889.29,-492.92,7.0,8.0,-36759.04,355.7753,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK"", ""OFF_HOURS""], ""allowed_sources"": null, ""disallowed_sources"": [""Low-Activity Filler Long"", ""Low-Activity Filler Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 15, ""min_atr_pct"": 0.2, ""min_bb_width"": 0.02, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.0, ""off_hours_min_expected_R"": 1.45}",False,False,False,False,NOT_PROMOTED,18.5188,,
P37_CAND_0012,cc8640780efb4b9f,phase37_focused_strategy1_guard,8719.46,34169.55,25450.09,1.3426,10.2894,394.0,0.5431,214.0,180.0,159.67,-141.39,22.13,47.0,27.0,0.0,851.35,-574.81,7.0,8.0,-35477.36,343.5244,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": null, ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""Funding Reversal Long"", ""Funding Reversal Short"", ""Low-Activity Filler Short""], ""disallowed_sources"": [], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 15, ""min_atr_pct"": 0.2, ""min_bb_width"": 0.02, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.0, ""off_hours_min_expected_R"": 1.55}",False,False,False,False,NOT_PROMOTED,22.6008,,
P37_CAND_0013,c98054825bd32c24,phase37_focused_strategy1_guard,8719.46,34169.55,25450.09,1.3426,10.2894,394.0,0.5431,214.0,180.0,159.67,-141.39,22.13,47.0,27.0,0.0,851.35,-574.81,7.0,8.0,-35477.36,343.5244,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": null, ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""Funding Reversal Long"", ""Funding Reversal Short"", ""Low-Activity Filler Short""], ""disallowed_sources"": [""Low-Activity Filler Long""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 15, ""min_atr_pct"": 0.2, ""min_bb_width"": 0.02, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.55, ""off_hours_min_expected_R"": 1.55}",False,False,False,False,NOT_PROMOTED,22.6008,,
P37_CAND_0014,11866de21f23334b,phase37_focused_strategy1_guard,4720.4,22885.32,18164.92,1.2599,9.3758,300.0,0.5133,154.0,146.0,148.61,-124.42,15.73,46.0,25.0,0.0,673.94,-491.15,7.0,8.0,-26520.48,262.5808,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": null, ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short""], ""disallowed_sources"": [""Low-Activity Filler Long"", ""Low-Activity Filler Short""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 15, ""min_atr_pct"": 0.2, ""min_bb_width"": 0.025, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.55, ""off_hours_min_expected_R"": 1.55}",False,False,False,False,NOT_PROMOTED,18.6315,,
P37_CAND_0015,1ac5906746e7f314,phase37_focused_strategy1_guard,3512.61,20340.48,16827.87,1.2087,10.8266,294.0,0.5034,148.0,146.0,137.44,-115.26,11.95,44.0,27.0,0.0,673.94,-449.62,7.0,8.0,-28413.31,281.2085,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short""], ""disallowed_sources"": [], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 18, ""min_atr_pct"": 0.2, ""min_bb_width"": 0.025, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.55, ""off_hours_min_expected_R"": 1.65}",False,False,False,False,NOT_PROMOTED,15.7863,,
P37_CAND_0016,0ae9298339d9efa5,phase37_focused_strategy1_guard,5037.23,26408.32,21371.09,1.2357,8.6196,358.0,0.5251,188.0,170.0,140.47,-125.71,14.07,43.0,28.0,0.0,824.61,-454.12,7.0,8.0,-32093.86,314.6266,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""Funding Reversal Short""], ""disallowed_sources"": [""Low-Activity Filler Long""], ""max_abs_funding"": 999.0, ""max_cost_to_risk"": 999.0, ""min_adx"": 18, ""min_atr_pct"": 0.2, ""min_bb_width"": 0.025, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.55, ""off_hours_min_expected_R"": 1.65}",False,False,False,False,NOT_PROMOTED,18.4844,,
P37_CAND_0017,d2220b5c1d99ca1c,phase37_focused_strategy1_guard,4763.25,25758.37,20995.12,1.2269,10.0389,355.0,0.5239,186.0,169.0,138.49,-124.23,13.42,42.0,29.0,0.0,787.7,-449.18,7.0,8.0,-33166.19,325.0436,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""LONDON"", ""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""BB Expansion Short"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""Funding Reversal Short""], ""disallowed_sources"": [""Low-Activity Filler Long"", ""Low-Activity Filler Short""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 999.0, ""min_adx"": 18, ""min_atr_pct"": 0.2, ""min_bb_width"": 0.025, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.55, ""off_hours_min_expected_R"": 1.65}",False,False,False,False,NOT_PROMOTED,17.2128,,
P37_CAND_0018,3cb40f5018304f69,phase37_focused_strategy1_guard,1218.26,14231.18,13012.92,1.0936,8.9821,240.0,0.4792,115.0,125.0,123.75,-104.1,5.08,36.0,34.0,0.0,477.55,-346.08,5.0,10.0,-24762.27,249.4403,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""BB Expansion Short""], ""disallowed_sources"": [], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 999.0, ""min_adx"": 18, ""min_atr_pct"": 0.2, ""min_bb_width"": 0.025, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.55, ""off_hours_min_expected_R"": 1.8}",False,False,False,False,NOT_PROMOTED,9.8632,,
P37_CAND_0019,3d1de336091647a7,phase37_focused_strategy1_guard,1218.26,14231.18,13012.92,1.0936,8.9821,240.0,0.4792,115.0,125.0,123.75,-104.1,5.08,36.0,34.0,0.0,477.55,-346.08,5.0,10.0,-24762.27,249.4403,ENGINE_EXECUTED,YES,,,"{""allowed_sessions"": [""NEW_YORK""], ""allowed_sources"": [""BB Expansion Long"", ""ATR Expansion Long"", ""ATR Expansion Short"", ""BB Expansion Short""], ""disallowed_sources"": [""Low-Activity Filler Long""], ""max_abs_funding"": 0.0015, ""max_cost_to_risk"": 999.0, ""min_adx"": 18, ""min_atr_pct"": 0.2, ""min_bb_width"": 0.025, ""min_projected_net_R"": 0.7, ""min_stop_atr"": 0.55, ""off_hours_min_expected_R"": 1.8}",False,False,False,False,NOT_PROMOTED,9.8632,,
