row_type,status,teacher_trades,live_trades,exact_matches,time_side_matches,missing_teacher_time_side,extra_live_time_side,pnl_gap,pf_gap,key
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1615413600000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1615471200000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1615629600000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1617339600000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1617634800000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1618106400000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1618210800000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1618300800000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1618322400000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1618423200000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1618718400000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1619132400000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1619406000000, ""Long""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1620007200000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1620093600000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1620226800000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1620482400000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1620608400000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1620676800000, ""Short""]"
missing_teacher_time_side,PARTIAL_RECOVERY,,,,,,,,,"[1621191600000, ""Short""]"
