month,baseline_pnl,winner_pnl,delta
2020-01,309.4843244900123,309.4843244900123,0.0
2020-02,-340.02546275843594,-340.02546275843594,0.0
2020-03,259.1683567983105,259.1683567983105,0.0
2020-04,402.84915686382215,402.84915686382215,0.0
2020-05,-25.555374903676523,-25.555374903676523,0.0
2020-06,44.187905250403674,44.187905250403674,0.0
2020-07,-214.925278698538,-135.6965766515137,79.22870204702429
2020-08,-185.31194560031182,-197.36668729066588,-12.054741690354064
2020-09,202.63835026879687,204.0490678235538,1.4107175547569284
2020-10,16.256204678631065,16.501107114449056,0.2449024358179912
2020-11,4.30658854051137,4.094852996970687,-0.21173554354068358
2020-12,-162.50719961512127,-164.09693553652784,-1.5897359214065716
2021-01,374.9835317089403,496.0786775994493,121.095145890509
2021-02,262.8919012774558,177.10167102598177,-85.79023025147404
2021-03,394.7398626234065,398.28167327700055,3.541810653594041
2021-04,451.9318627336958,448.2557056470915,-3.6761570866043485
2021-05,532.1349811249848,531.0872943195119,-1.0476868054729493
2021-06,-32.57845539374867,-33.8040103693846,-1.22555497563593
2021-07,321.89618205546645,324.6657018722153,2.7695198167488684
2021-08,458.92550952121474,462.95652461229366,4.0310150910789275
2021-09,-46.959413302231326,-46.03941024936837,0.9200030528629526
2021-10,724.2512902000922,727.3105376540523,3.059247453960097
2021-11,287.00825491236554,289.0799241546312,2.0716692422656706
2021-12,-133.83847235766544,-136.3769759204973,-2.5385035628318633
2022-01,422.7842898341393,427.18633451500233,4.402044680863014
2022-02,551.0455256491304,556.0929603813586,5.047434732228226
2022-03,196.1486953570961,197.42238818409024,1.2736928269941359
2022-04,-450.71579035180594,-454.01276049180416,-3.2969701399982227
2022-05,183.87926283633382,184.59818433203438,0.7189214957005561
2022-06,359.7460725512278,362.600773503101,2.8547009518731556
2022-07,368.9205532471456,372.9288971292848,4.008343882139172
2022-08,24.88722833697645,25.282965610275483,0.39573727329903363
2022-09,-77.30825038810565,-77.8080997003616,-0.49984931225594664
2022-10,217.99592308233343,219.8075235511617,1.81160046882826
2022-11,415.7872653454015,417.8782597535854,2.0909944081838603
2022-12,272.23252684338087,274.5298477450127,2.297320901631849
2023-01,236.97263458090137,239.05673370778626,2.084099126884894
2023-02,443.0452247956459,446.8174987764953,3.772273980849434
2023-03,987.4342331756604,995.1209309591824,7.686697783521936
2023-04,-148.4760413192933,-149.71893122716645,-1.242889907873149
2023-05,252.84957112818495,254.35912080656215,1.5095496783771978
2023-06,-612.1257761595948,-616.7770589698346,-4.651282810239763
2023-08,-165.7808803381235,-167.23102501027287,-1.4501446721493778
2023-10,-191.14054157509543,-192.88346444660087,-1.7429228715054421
2023-11,-192.51513548690212,-194.67158147505154,-2.1564459881494145
2023-12,-0.30368052003640855,0.30807654525980865,0.6117570652962172
2024-01,500.3934579073689,507.5410946185258,7.147636711156906
2024-02,692.2077486127362,696.1272260659078,3.9194774531716803
2024-03,-486.36426558792857,-493.4477105105333,-7.083444922604713
2024-04,-120.34060078202512,-122.12790335634591,-1.7873025743207904
2024-05,252.86905975142167,255.46598761894916,2.5969278675274836
2024-06,-144.42349368654263,-145.19636265579973,-0.7728689692571038
2024-07,-386.46250488707386,-390.3741714255552,-3.911666538481313
2024-08,992.166506750809,1000.3292410196315,8.162734268822419
2024-09,-507.28763044216373,-511.8085722317998,-4.520941789636083
2024-11,628.8190867240114,630.2536345394238,1.4345478154124294
2024-12,462.86586639207883,470.14950264432076,7.283636252241934
2025-01,363.4436548046996,364.00568238012835,0.5620275754287718
2025-02,106.76320250127907,112.99540468580213,6.232202184523061
2025-03,661.7335139019497,672.8328081833336,11.09929428138389
2025-04,206.26372455470317,205.22431524900713,-1.03940930569604
2025-05,275.22314357226287,277.3902549389735,2.1671113667106283
2025-09,-238.058568015977,-239.88978776994605,-1.8312197539690658
2025-10,592.370778141327,598.1717305220794,5.800952380752392
2025-11,-191.26752190940897,-193.0295413747043,-1.7620194652953387
2025-12,-646.1490237923354,-653.1916985291557,-7.042674736820345
2026-01,290.2435800340254,292.02797231648935,1.7843922824639549
2026-02,657.3345317794385,659.9669149502209,2.6323831707824183
2026-03,375.2657727543301,376.2778233091796,1.012050554849509
2026-05,294.5623789461332,296.24559254011103,1.6832135939778254
2026-06,-202.082092604459,-203.64257490970914,-1.560482305250133
