system,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown_pct,trades,win_rate,winning_trades,losing_trades,average_win,average_loss,expectancy,largest_win,largest_loss,max_consecutive_wins,max_consecutive_losses,trade_log_hash,positive_months,negative_months,zero_months,best_month,worst_month,trades_per_month,classification
Strategy #1 only,11205.2,55640.85,44435.66,1.2522,16.2186,557,0.5404,301,256,184.85,-173.58,20.12,332.06,-274.42,9,8,45941af920cdcf73a19b65b6e037d79c04f28946753c7e32a6ded3b03bf9c292,52,25,0,1317.97,-718.58,7.23,ACTIVE_PRIMARY_EXECUTABLE_BASELINE
Strategy #1 + selected candidates diagnostic union,11205.2,55640.85,44435.66,1.2522,16.2186,557,0.5404,301,256,184.85,-173.58,20.12,332.06,-274.42,9,8,aed395d7fc6beb23a2e290d5c8710f964f969341ee6d2e56d98f14b176f077b5,52,25,0,1317.97,-718.58,7.23,DIAGNOSTIC_ONLY_NOT_PROMOTED
