sleeve,timeframe,trades,pnl,pf,dd_contrib
Core Retest,1h,325,21684.99,2.42,0.1087
VWAP Reclaim,5m,185,5850.2,2.15,0.015
Tokyo Session Squeeze,15m,130,3045.21,2.08,0.012
