symbol,trades,net_pnl,gross_profit,gross_loss,profit_factor,max_drawdown_pct,win_rate,winners,losers,avg_win,avg_loss,expectancy,largest_win,largest_loss,positive_months,negative_months,zero_months,best_month_pnl,worst_month_pnl,stress_pass_count,combined_adverse_pnl,trade_log_file,trade_log_sha256,status,generalization_verdict
BTCUSDT,340,11431.41,34301.35,22869.95,1.4998,7.938,0.5647,192,148,178.6529,-154.5267,33.6218,333.44,-241.86,46,25,0,992.17,-646.15,15/15,0.0,phase41_BTCUSDT_strategy1_2_trade_log.csv,4b45287b654c1fbe91f6e97397b86f376bf6cd3770337cb0de3f3e812f0ac6dc,PROFITABLE,STRONG_GENERALIZATION
ETHUSDT,481,-2015.14,20865.57,22880.71,0.9119,24.8048,0.4387,211,270,98.889,-84.7434,-4.1895,147.34,-119.11,36,41,0,569.14,-317.04,0/15,-39400.87,phase41_ETHUSDT_strategy1_2_trade_log.csv,b77cf1de0657e6f8f80a94755d54f55a4c95c66ac033ac3c0fa9d25a59b4a8ca,UNPROFITABLE,FAIL_GENERALIZATION
BNBUSDT,422,-2728.47,15122.24,17850.71,0.8472,32.0535,0.4242,179,243,84.4818,-73.4597,-6.4656,142.51,-119.66,33,43,0,328.34,-344.21,0/15,-52233.59,phase41_BNBUSDT_strategy1_2_trade_log.csv,7e1e24abffd44ba3b88a5922398fec263502b8e9993ed7f74b64b4d3fb4284ff,UNPROFITABLE,FAIL_GENERALIZATION
SOLUSDT,518,-3827.16,19588.34,23415.51,0.8366,44.4828,0.4112,213,305,91.9641,-76.7722,-7.3883,193.76,-167.27,21,48,0,986.84,-386.93,0/15,-65418.82,phase41_SOLUSDT_strategy1_2_trade_log.csv,daa67bcdaaffad759c10fd7b22e53af36457cc2630dce95781c30bb47572518f,UNPROFITABLE,FAIL_GENERALIZATION
