system,status,net_pnl,trades,profit_factor,max_dd_pct,positive_months,negative_months,zero_months,win_rate,winners,losers,average_winner,average_loser,expectancy,avg_r,best_trade,worst_trade,combined_adverse,trade_log_hash,gates,teacher_time_side_match_rate,missing_teacher_time_side,extra_live_time_side
b_rescue_mtf_strict,ENGINE_EXECUTED_MTF_B_RESCUE_REBUILD,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6,"{""max_funding_abs"": 0.0003, ""min_15m_body"": 0.4, ""min_5m_wick"": 0.45, ""min_adx"": 18, ""min_expected_r"": 1.55, ""require_5m_vwap_reclaim"": true, ""sessions"": [""london"", ""ny""]}",0.0,416,0
b_rescue_mtf_balanced,ENGINE_EXECUTED_MTF_B_RESCUE_REBUILD,2264.4581737913954,197,1.2012225403784822,11.218891980779071,34,28,16,0.5126903553299492,101,96,133.84118556845152,-117.223974673148,11.494711542088302,0.17559390878640369,163.75186497788005,-138.4536305738788,-198.52350518515857,167d1a5b39700368688bef905219157d1c561c9a6329d22db66886f47d4f5e22,"{""max_funding_abs"": 0.0004, ""min_15m_body"": 0.3, ""min_5m_wick"": 0.3, ""min_adx"": 14, ""min_expected_r"": 1.35, ""sessions"": [""london"", ""ny""]}",0.22115384615384615,324,105
b_rescue_mtf_tokyo_london,ENGINE_EXECUTED_MTF_B_RESCUE_REBUILD,-327.83230610988505,143,0.9584518173407297,10.115523357218995,28,26,24,0.44755244755244755,64,79,118.16531789985959,-99.87864116077088,-2.2925336091600355,0.024784120434311056,142.5855099870458,-124.55138066377229,-1368.3730022691445,a4890918e876fe200e671629256ac46a89362e21434431f66e7b65ba13cbb8f2,"{""max_funding_abs"": 0.00045, ""min_15m_body"": 0.25, ""min_5m_wick"": 0.25, ""min_adx"": 12, ""min_expected_r"": 1.25, ""sessions"": [""tokyo"", ""london""]}",0.14423076923076922,356,83
b_rescue_mtf_vwap,ENGINE_EXECUTED_MTF_B_RESCUE_REBUILD,3467.6779600883165,243,1.2497236082547638,11.382994327951776,39,25,14,0.522633744855967,127,116,136.64363601645377,-119.7074466724251,14.270279671145335,0.19878762628689592,176.78634271686175,-152.02651708508188,396.8671155685506,14c83362d569e4fddf302d25715762e2d55e8f7c78e270bc16f4523520f71694,"{""max_funding_abs"": 0.0005, ""min_adx"": 10, ""min_expected_r"": 1.2, ""require_5m_vwap_reclaim"": true, ""sessions"": [""tokyo"", ""london"", ""ny""]}",0.2668269230769231,305,132
