timeframe,exists,rows,start,end,duplicate_candles,bad_deltas,sha256,leakage_check
1h,YES,56929,2020-01-01 00:00:00+00:00,2026-06-30 00:00:00+00:00,0,0,a7e42c46aeeb1f4f5955c17f14fe2e94d53dcb4e3c18773111a6cb2fe4a8526f,PASS_CLOSED_CANDLES_ONLY
15m,YES,227521,2020-01-01 00:00:00+00:00,2026-06-28 00:00:00+00:00,0,0,33a6f59eb1d7700c89299bb65ade626d465fffd9584257ad83f179a35a5c1320,PASS_CLOSED_CANDLES_ONLY
5m,YES,682561,2020-01-01 00:00:00+00:00,2026-06-28 00:00:00+00:00,0,0,2baf36eeb9165dc874f8d0b004d31415171528745f6e1c4ec58f1176115526bf,PASS_CLOSED_CANDLES_ONLY
cross_timeframe,YES,502,,,,,,PASS_NO_TRIGGER_BEFORE_SETUP_CLOSE
